Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B171988,08/03/2017,,,,,,2919 22nd Street,94110,9,Mission,POINT (-122.41264785573554 37.75578381152343),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B153124,,11/10/2015,"12,606.13",,,1,1447 Newcomb Avenue,94124,10,Bayview Hunters Point,POINT (-122.38695925748112 37.73359055209069),100,86,2,9,1,1,3,8,10,58,2,,,,86
B161098,03/18/2016,05/17/2016,"15,000.00",,true,2,53 Pearl Street,94103,8,Mission,POINT (-122.42386644283988 37.77047446277523),100,27,1,5,20,19,2,5,8,"28,853",2,,,,27
B172057,08/09/2017,08/24/2018,"15,000.00",,,1,759 06th Avenue,94118,1,Inner Richmond,POINT (-122.46384918215743 37.77435618116678),100,5,8,4,11,11,6,2,11,54,1,,,,5
B211098,07/28/2021,10/15/2021,"5,000.00",,,1,655 Stockton Street,94108,3,Nob Hill,POINT (-122.40747590735671 37.79181479068557),100,16,6,3,21,21,1,10,5,"28,857",1,,,,16
B220556,03/28/2022,05/24/2022,"10,000.00",,,2,1215 Jamestown Avenue,94124,10,Bayview Hunters Point,POINT (-122.39752760514395 37.72068656771708),100,88,2,9,1,1,3,8,10,58,2,,,,88
B220008,01/06/2022,,,,,,1538 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.38979869924381 37.73338217812071),100,86,2,9,1,1,3,8,10,58,2,,,,86
B172084,08/15/2017,,,,,,242 Divisadero Street,94117,5,Haight Ashbury,POINT (-122.43694061944176 37.771108283445294),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B182007,07/06/2018,10/03/2018,"200,000.00",,true,1,2424 Gough Street,94123,2,Pacific Heights,POINT (-122.42673565138769 37.79560500367343),100,102,4,6,30,27,9,1,13,"28,858",1,,,,102
B211190,08/17/2021,02/04/2022,"35,000.00",,,2,229 Judson Avenue,94112,7,West of Twin Peaks,POINT (-122.44727714689685 37.72824738140965),100,95,9,8,41,40,7,4,9,"28,861",1,,,,95
B162720,08/22/2016,11/21/2016,"10,640.00",,,3,1532 Fulton Street,94117,2,Lone Mountain/USF,POINT (-122.44208267653045 37.776393483057014),100,97,7,11,18,16,5,11,15,"29,492",1,,,,97
B170253,02/09/2017,06/19/2017,"81,435.08",,,2,676 Castro Street,94114,8,Castro/Upper Market,POINT (-122.43478460855438 37.75809867598051),100,115,3,5,5,3,4,5,2,"28,862",1,,,,115
B211355,09/28/2021,04/21/2022,"52,000.00",,true,3,509 Randolph Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.4672757226786 37.71424979860403),100,65,10,1,24,24,8,6,9,64,2,,,,65
B220149,01/25/2022,,,,,,26 Farallones Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45321613788362 37.71412859813492),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B161471,04/27/2016,05/05/2016,"21,597.00",,,2,2106 26th Avenue,94116,4,Sunset/Parkside,POINT (-122.48354757344303 37.74812776778334),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B181300,04/24/2018,07/23/2018,"85,000.00",,true,2,448 14th Street,94103,9,Mission,POINT (-122.42330095846856 37.768106177514234),100,37,3,5,20,19,4,5,8,"28,853",2,,,,37
B180346,02/01/2018,,,,,,1520 Masonic Avenue,94117,8,Haight Ashbury,POINT (-122.44428140682288 37.76610115233492),100,112,7,5,3,9,5,5,15,"29,492",1,,,,112
B221691,08/05/2022,,,,,,2632 Wawona Street,94116,4,Sunset/Parkside,POINT (-122.49499393980453 37.7366198557115),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B191261,06/07/2019,,,,,,3256 Folsom Street,94110,9,Bernal Heights,POINT (-122.41350303912257 37.745977795655676),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B192846,10/11/2019,12/04/2019,"20,939.00",,true,3,1966 Pacific Avenue,94109,2,Pacific Heights,POINT (-122.42760163413871 37.794292622951566),100,102,4,6,30,27,9,1,13,"28,858",1,,,,102
B163879,12/22/2016,,,,,,3039 california Street,94115,2,Presidio Heights,POINT (-122.44442566373169 37.787541214281305),100,103,8,6,31,31,6,1,13,"29,490",1,,,,103
B163565,11/15/2016,01/19/2017,"7,500.00",,,1,2635 Sacramento Street,94115,2,Pacific Heights,POINT (-122.43628629052884 37.78953114334905),100,102,4,6,30,27,6,1,13,"29,490",1,,,,102
B192950,10/24/2019,12/26/2019,"45,000.00",,,2,1972 Union Street,94123,2,Marina,POINT (-122.4317901918954 37.797593620850755),100,15,4,6,13,17,9,1,13,57,1,,,,15
B172935,11/17/2017,,,,,,748 Page Street,94117,5,Haight Ashbury,POINT (-122.43310528898881 37.77275825536279),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B160292,02/04/2016,,,,,,414 Texas Street,94107,10,Potrero Hill,POINT (-122.39546142676447 37.76111524023878),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B200648,05/08/2020,,,,,,1566 Green Street,94123,2,Marina,POINT (-122.42487977042164 37.79751291342802),100,15,4,6,13,17,9,1,13,57,1,,,,15
B200428,02/18/2020,,,,,,903 North POint Street,94109,2,Russian Hill,POINT (-122.42215583938022 37.80545694591264),100,98,6,6,32,32,1,1,5,"28,858",1,,,,98
B191751,07/23/2019,08/09/2019,"15,500.00",,,1,744 Dartmouth Street,94134,9,Portola,POINT (-122.40982074301157 37.72142037929128),100,91,2,2,25,28,3,7,9,309,1,,,,91
B171017,04/18/2017,,,,,,1304 Francisco Street,94123,2,Marina,POINT (-122.42675391037447 37.803008229502964),100,17,4,6,13,17,9,1,13,57,1,,,,17
B211137,08/12/2021,,,,,,262 Missouri Street,94107,10,Potrero Hill,POINT (-122.39661943476598 37.76307334087507),100,54,2,9,26,29,3,8,14,"28,856",1,,,,54
B162785,08/30/2016,11/15/2016,"24,500.00",,,1,421 Lyon Street,94117,5,Lone Mountain/USF,POINT (-122.44285130590897 37.774603271217025),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B170537,03/02/2017,08/18/2017,"3,000.00",,,1,1985 San Jose Avenue,94112,11,Outer Mission,POINT (-122.44276671403588 37.72531491312141),100,94,9,1,28,25,7,6,9,"28,861",1,,,,94
B171751,07/03/2017,,,,,,20 Romolo Place,94133,3,North Beach,POINT (-122.40625987964388 37.798161017994616),90.92,106,6,3,23,23,1,10,3,308,2,,,,106
B211272,09/01/2021,12/10/2021,"26,137.00",,,1,1503 Waller Street,94117,8,Haight Ashbury,POINT (-122.44854458334272 37.76882412734072),100,29,7,11,3,9,5,11,15,"29,492",1,,,,29
B191660,07/12/2019,09/05/2019,"55,353.11",,,2,972 Harrison Street,94107,6,South of Market,POINT (-122.40339237139099 37.777861804758224),100,32,1,10,34,34,2,9,14,"28,856",2,,,,32
B163185,09/30/2016,,,,,,837 Union Street,94133,3,Russian Hill,POINT (-122.41311450802363 37.799930443277475),100,107,6,3,32,32,1,10,3,308,1,,,,107
