"","buyout_amount","address","nhood","long","lat","month","year"
"2","12,606.13","1447 Newcomb Avenue","Bayview Hunters Point","-122.38695925748112","37.73359055209069","11","2015"
"3","15,000.00","53 Pearl Street","Mission","-122.42386644283988","37.77047446277523","5","2016"
"4","15,000.00","759 06th Avenue","Inner Richmond","-122.46384918215743","37.77435618116678","8","2018"
"5","5,000.00","655 Stockton Street","Nob Hill","-122.40747590735671","37.79181479068557","10","2021"
"6","10,000.00","1215 Jamestown Avenue","Bayview Hunters Point","-122.39752760514395","37.72068656771708","5","2022"
"9","200,000.00","2424 Gough Street","Pacific Heights","-122.42673565138769","37.79560500367343","10","2018"
"10","35,000.00","229 Judson Avenue","West of Twin Peaks","-122.44727714689685","37.72824738140965","2","2022"
"11","10,640.00","1532 Fulton Street","Lone Mountain/USF","-122.44208267653045","37.776393483057014","11","2016"
"12","81,435.08","676 Castro Street","Castro/Upper Market","-122.43478460855438","37.75809867598051","6","2017"
"13","52,000.00","509 Randolph Street","Oceanview/Merced/Ingleside","-122.4672757226786","37.71424979860403","4","2022"
"15","21,597.00","2106 26th Avenue","Sunset/Parkside","-122.48354757344303","37.74812776778334","5","2016"
"16","85,000.00","448 14th Street","Mission","-122.42330095846856","37.768106177514234","7","2018"
"20","20,939.00","1966 Pacific Avenue","Pacific Heights","-122.42760163413871","37.794292622951566","12","2019"
"22","7,500.00","2635 Sacramento Street","Pacific Heights","-122.43628629052884","37.78953114334905","1","2017"
"23","45,000.00","1972 Union Street","Marina","-122.4317901918954","37.797593620850755","12","2019"
"28","15,500.00","744 Dartmouth Street","Portola","-122.40982074301157","37.72142037929128","8","2019"
"31","24,500.00","421 Lyon Street","Lone Mountain/USF","-122.44285130590897","37.774603271217025","11","2016"
"32","3,000.00","1985 San Jose Avenue","Outer Mission","-122.44276671403588","37.72531491312141","8","2017"
"34","26,137.00","1503 Waller Street","Haight Ashbury","-122.44854458334272","37.76882412734072","12","2021"
"35","55,353.11","972 Harrison Street","South of Market","-122.40339237139099","37.777861804758224","9","2019"
"37","15,000.00","3435 Cesar Chavez Street","Bernal Heights","-122.41897791888638","37.74807107134142","5","2022"
"38","30,000.00","647 Vienna Street","Excelsior","-122.43212115190602","37.71817208783197","12","2017"
"39","50,000.00","381 day Street","Noe Valley","-122.43055423445718","37.742637680249054","8","2019"
"42","35,000.00","1290 Grove Street","Hayes Valley","-122.43777819517838","37.77598629937515","9","2018"
"47","50,000.00","1728 Cabrillo Street","Outer Richmond","-122.47719918446077","37.774794583963285","2","2017"
"51","30,013.05","240 Bowdoin Street","Portola","-122.41300864229112","37.73116697178471","5","2021"
"52","","1781 Revere Avenue","Bayview Hunters Point","-122.39344100537248","37.733488458613074","12","2020"
"59","17,000.00","54 Fair Avenue","Bernal Heights","-122.41913256686573","37.74526041409528","11","2017"
"60","27,000.00","1554 28th Avenue","Sunset/Parkside","-122.486420037192","37.75839471647511","7","2020"
"62","32,068.88","203 Carl Street","Inner Sunset","-122.45290731036754","37.76540311127074","11","2019"
"65","23,000.00","255 Steiner Street","Haight Ashbury","-122.43207991466119","37.77160401688146","1","2016"
"77","12,000.00","179 Burnside Avenue","West of Twin Peaks","-122.4386863983312","37.733637403372455","1","2017"
"79","20,000.00","443 austin Street","Pacific Heights","-122.4260539172589","37.788423232495084","8","2017"
"80","170,000.00","3653 Webster Street","Marina","-122.43531480284904","37.80431387703296","5","2022"
"82","100,000.00","1457 South Van Ness Avenue","Mission","-122.41600069948619","37.749877253512956","7","2019"
"84","0.00","307 Crestmont Drive","Inner Sunset","-122.46011489449984","37.75743054765901","8","2017"
"85","7,300.00","1225 20th Avenue","Sunset/Parkside","-122.47833595980936","37.764895173683435","8","2021"
"87","117,528.77","1758 Great Highway","Sunset/Parkside","-122.50851471561081","37.75361425210264","6","2021"
"89","60,000.00","406 Faxon Avenue","Oceanview/Merced/Ingleside","-122.46020426073717","37.72202975086963","10","2019"
"90","70,000.00","643 Webster Street","Hayes Valley","-122.42975121241734","37.77665235530214","9","2018"
"93","9,000.00","129 Saturn Street","Castro/Upper Market","-122.44353482042484","37.76261530138433","11","2017"
"94","90,000.00","378 Corbett Avenue","Castro/Upper Market","-122.44604776518332","37.75925257997429","7","2021"
"96","105,733.32","1165 Shotwell Street","Mission","-122.41489625820904","37.74982715658295","11","2015"
"97","56,000.00","711 Hampshire Street","Potrero Hill","-122.40802387554507","37.76040431722585","6","2021"
"100","15,000.00","4418 23rd Street","Noe Valley","-122.44118279487141","37.75250358134349","7","2016"
"101","15,000.00","551 Page Street","Hayes Valley","-122.42983183647065","37.77311996852089","9","2015"
"102","60,000.00","739 40th Avenue","Outer Richmond","-122.50051106233559","37.77482839204389","12","2019"
"104","23,268.00","18 Wayne Place","Chinatown","-122.41091942232347","37.79663469831173","8","2019"
"105","17,964.80","333 san jose Avenue","Mission","-122.42134786567024","37.74973617591472","6","2018"
"107","50,000.00","3322 Judah Street","Sunset/Parkside","-122.49767127719103","37.76082178996188","2","2019"
"108","57,000.00","1374 46th Avenue","Sunset/Parkside","-122.50594264413405","37.76093242199474","10","2018"
"110","193,750.00","56 Mason Street","Tenderloin","-122.40918921274312","37.78386498910406","7","2018"
"116","6,000.00","14 Isis Street","Mission","-122.41449177902692","37.770435502102266","7","2018"
"121","20,000.00","647 Vienna Street","Excelsior","-122.43212115190602","37.71817208783197","3","2016"
"126","60,000.00","3479 Mission Street","Bernal Heights","-122.42265217701227","37.74128491910827","10","2020"
"128","23,867.22","2736 43rd Avenue","Sunset/Parkside","-122.50096286668624","37.7358875695428","6","2017"
"131","85,000.00","318 San Jose Avenue","Mission","-122.42144963967712","37.75008595570671","7","2019"
"134","85,000.00","1625 Larkin Street","Russian Hill","-122.41950127246794","37.79285311878874","8","2019"
"135","65,000.00","3369 21st Street","Mission","-122.42261989822683","37.75679020078534","7","2020"
"136","20,704.00","366 San Carlos Street","Mission","-122.41978894701992","37.757543505444836","6","2018"
"137","30,000.00","1950 Pierce Street","Pacific Heights","-122.43701351984794","37.78802735421496","3","2022"
"143","12,562.00","566 London Street","Excelsior","-122.43719754707126","37.720204634797625","11","2017"
"144","475.00","1286 Folsom Street","South of Market","-122.4113971346155","37.77399113367247","12","2017"
"155","65,000.00","3312 Clay Street","Presidio Heights","-122.4474579390703","37.78906593336731","11","2020"
"158","60,000.00","1927 Page Street","Haight Ashbury","-122.45255910204833","37.77022789245039","4","2018"
"161","21,613.60","225 11th Avenue","Inner Richmond","-122.46991793457532","37.78407207691857","8","2016"
"162","45,000.00","152 04th Avenue","Inner Richmond","-122.46245933619834","37.78582522929363","6","2015"
"167","20,000.00","11 Fielding Street","North Beach","-122.41006426983617","37.803676159697616","10","2020"
"174","26,385.96","1026 Montgomery Street","North Beach","-122.40390139504768","37.79852576970837","2","2016"
"175","50,000.00","820 Green Street","Russian Hill","-122.41270429033365","37.79907655562949","11","2020"
"178","27,000.00","131 Charles Street","Glen Park","-122.42579390679423","37.738335556531595","5","2017"
"182","32,400.00","1310 Turk Street","Western Addition","-122.43070735374896","37.780713425481956","3","2021"
"184","5,000.00","327 05TH Avenue","Inner Richmond","-122.46335756819289","37.78244122898703","8","2018"
"186","63,824.09","1574 church Street","Noe Valley","-122.42690392195529","37.74570173278964","5","2018"
"187","20,000.00","667 Spruce Street","Presidio Heights","-122.4533804109456","37.782512108330025","5","2017"
"188","55,000.00","1409 Anza Street","Inner Richmond","-122.46326956764112","37.77910840668819","5","2021"
"189","56,993.00","964 Minnesota Street","Potrero Hill","-122.39030471759753","37.75833399555425","12","2016"
"191","20,953.40","2364 Pacific Avenue","Pacific Heights","-122.43414718554659","37.79345625495394","9","2017"
"193","100,000.00","495 32nd Avenue","Outer Richmond","-122.49229145871034","37.779911671222685","4","2020"
"195","44,000.00","1575 47th Avenue","Sunset/Parkside","-122.50681916866498","37.75715236176148","12","2017"
"196","55,000.00","451 Frederick Street","Haight Ashbury","-122.4515737722485","37.766534155042216","5","2018"
"201","4,500.00","2186 Vallejo Street","Marina","-122.43320205559279","37.795503176999745","6","2017"
"205","300,000.00","759 Harrison Street","South of Market","-122.39882858707723","37.78139093422049","2","2022"
"206","35,000.00","59 Buena Vista Terrace","Castro/Upper Market","-122.4382516599114","37.76793702312643","12","2021"
"209","18,500.00","188 Banks Street","Bernal Heights","-122.41271353700142","37.74045591244571","10","2018"
"210","75,329.00","246 San Carlos Street","Mission","-122.41995895035005","37.75943367408419","7","2015"
"212","56,000.00","567 02nd Avenue","Inner Richmond","-122.4598185850606","37.77806942903156","12","2021"
"215","62,500.00","756 Chestnut Street","Russian Hill","-122.41581271844684","37.80346485270565","7","2019"
"223","40,000.00","1844 Anza Street","Inner Richmond","-122.46786215864277","37.778955456620885","9","2017"
"225","29,500.00","2415 Buchanan Street","Pacific Heights","-122.43117565511076","37.792198632952065","10","2015"
"230","50,000.00","819 27th Avenue","Outer Richmond","-122.48648704753356","37.77394230238705","7","2017"
"232","30,000.00","584 Mississippi Street","Potrero Hill","-122.39429420175411","37.75904945133383","7","2021"
"233","11,000.00","341 Corbett Avenue","Castro/Upper Market","-122.44516026080476","37.75991385522523","7","2017"
"235","54,358.75","2005 Fulton Street","Lone Mountain/USF","-122.44988574800956","37.775346046325495","8","2018"
