"...1","X","buyout_amount","address","nhood","long","lat","month","year","centroid_lat","centroid_long"
1,2,12606.13,"1447 Newcomb Avenue","Bayview Hunters Point",-122.386959257481,37.7335905520907,11,2015,37.730696,-122.388515
2,3,15000,"53 Pearl Street","Mission",-122.42386644284,37.7704744627752,5,2016,37.758338,-122.414678
3,4,15000,"759 06th Avenue","Inner Richmond",-122.463849182157,37.7743561811668,8,2018,37.778849,-122.468955
4,5,5000,"655 Stockton Street","Nob Hill",-122.407475907357,37.7918147906856,10,2021,37.793044,-122.414461
5,6,10000,"1215 Jamestown Avenue","Bayview Hunters Point",-122.397527605144,37.7206865677171,5,2022,37.730696,-122.388515
6,9,2e+05,"2424 Gough Street","Pacific Heights",-122.426735651388,37.7956050036734,10,2018,37.792182,-122.432784
7,10,35000,"229 Judson Avenue","West of Twin Peaks",-122.447277146897,37.7282473814097,2,2022,37.737955,-122.460363
8,11,10640,"1532 Fulton Street","Lone Mountain/USF",-122.44208267653,37.776393483057,11,2016,37.777975,-122.452816
9,12,81435.08,"676 Castro Street","Castro/Upper Market",-122.434784608554,37.7580986759805,6,2017,37.758812,-122.435644
10,13,52000,"509 Randolph Street","Oceanview/Merced/Ingleside",-122.467275722679,37.714249798604,4,2022,37.718959,-122.462039
11,15,21597,"2106 26th Avenue","Sunset/Parkside",-122.483547573443,37.7481277677833,5,2016,37.749026,-122.493742
12,16,85000,"448 14th Street","Mission",-122.423300958469,37.7681061775142,7,2018,37.758338,-122.414678
13,20,20939,"1966 Pacific Avenue","Pacific Heights",-122.427601634139,37.7942926229516,12,2019,37.792182,-122.432784
14,22,7500,"2635 Sacramento Street","Pacific Heights",-122.436286290529,37.7895311433491,1,2017,37.792182,-122.432784
15,23,45000,"1972 Union Street","Marina",-122.431790191895,37.7975936208508,12,2019,37.802877,-122.436969
16,28,15500,"744 Dartmouth Street","Portola",-122.409820743012,37.7214203792913,8,2019,37.72647,-122.407642
17,31,24500,"421 Lyon Street","Lone Mountain/USF",-122.442851305909,37.774603271217,11,2016,37.777975,-122.452816
18,32,3000,"1985 San Jose Avenue","Excelsior/Outer Mission",-122.442766714036,37.7253149131214,8,2017,37.709585,-122.455082
19,34,26137,"1503 Waller Street","Haight Ashbury/Hayes Valley",-122.448544583343,37.7688241273407,12,2021,37.76991,-122.447678
20,35,55353.11,"972 Harrison Street","Financial District/South Beach/SOMA",-122.403392371391,37.7778618047582,9,2019,37.779527,-122.405727
21,37,15000,"3435 Cesar Chavez Street","Bernal Heights",-122.418977918886,37.7480710713414,5,2022,37.741391,-122.414033
22,38,30000,"647 Vienna Street","Excelsior/Outer Mission",-122.432121151906,37.718172087832,12,2017,37.7223,-122.431224
23,39,50000,"381 day Street","Glen Park/Noe Valley",-122.430554234457,37.7426376802491,8,2019,37.747095,-122.431421
24,42,35000,"1290 Grove Street","Haight Ashbury/Hayes Valley",-122.437778195178,37.7759862993751,9,2018,37.776425,-122.426235
25,47,50000,"1728 Cabrillo Street","Outer Richmond",-122.477199184461,37.7747945839633,2,2017,37.776683,-122.489908
