"...1","X","address","nhood","lat","long","month","year","block","street_name","street_type","centroid_lat","centroid_long","year_nhood","month_year_nhood","dummy"
1,16,"700 Block Of Kearny  Street","Chinatown",NA,NA,9,2018,700,"Kearny","Street",37.795073,-122.40635,"2018 Chinatown","9 2018 Chinatown",1
2,17,"700 Block Of Kearny  Street","Chinatown",NA,NA,8,2018,700,"Kearny","Street",37.795073,-122.40635,"2018 Chinatown","8 2018 Chinatown",1
3,18,"0 Block Of Polk  Street","Tenderloin",NA,NA,11,2017,0,"Polk","Street",37.784141,-122.414748,"2017 Tenderloin","11 2017 Tenderloin",1
4,19,"1300 Block Of Hampshire  Street","Mission",NA,NA,8,2017,1300,"Hampshire","Street",37.758338,-122.414678,"2017 Mission","8 2017 Mission",1
5,20,"3300 Block Of 21st  Street","Mission",NA,NA,2,2017,3300,"21st","Street",37.758338,-122.414678,"2017 Mission","2 2017 Mission",1
6,21,"3800 Block Of Folsom  Street","Bernal Heights",NA,NA,1,2017,3800,"Folsom","Street",37.741391,-122.414033,"2017 Bernal Heights","1 2017 Bernal Heights",1
7,22,"600 Block Of Taylor  Street","Nob Hill",NA,NA,7,2016,600,"Taylor","Street",37.793044,-122.414461,"2016 Nob Hill","7 2016 Nob Hill",1
8,23,"700 Block Of Kearny  Street","Chinatown",NA,NA,3,2016,700,"Kearny","Street",37.795073,-122.40635,"2016 Chinatown","3 2016 Chinatown",1
9,24,"1500 Block Of Bay  Street","Marina",NA,NA,1,2016,1500,"Bay","Street",37.802877,-122.436969,"2016 Marina","1 2016 Marina",1
10,26,"1600 Block Of Market  Street","Mission",NA,NA,11,2015,1600,"Market","Street",37.758338,-122.414678,"2015 Mission","11 2015 Mission",1
11,27,"0 Block Of Church  Street","Haight Ashbury/Hayes Valley",NA,NA,8,2015,0,"Church","Street",37.776425,-122.426235,"2015 Hayes Valley","8 2015 Hayes Valley",1
12,28,"1000 Block Of Pine  Street","Nob Hill",NA,NA,2,2015,1000,"Pine","Street",37.793044,-122.414461,"2015 Nob Hill","2 2015 Nob Hill",1
13,29,"800 Block Of Francisco  Street","Russian Hill",NA,NA,12,2014,800,"Francisco","Street",37.800432,-122.417609,"2014 Russian Hill","12 2014 Russian Hill",1
14,30,"200 Block Of Judson  Avenue","West of Twin Peaks",NA,NA,10,2014,200,"Judson","Avenue",37.737955,-122.460363,"2014 West of Twin Peaks","10 2014 West of Twin Peaks",1
15,31,"100 Block Of Font  Boulevard","Lakeshore",NA,NA,3,2014,100,"Font","Boulevard",37.71872,-122.477916,"2014 Lakeshore","3 2014 Lakeshore",1
16,34,"200 Block Of Divisadero  Street","Haight Ashbury/Hayes Valley",NA,NA,9,2013,200,"Divisadero","Street",37.76991,-122.447678,"2013 Haight Ashbury","9 2013 Haight Ashbury",1
17,35,"0 Block Of Bernice  Street","Mission",NA,NA,1,2013,0,"Bernice","Street",37.758338,-122.414678,"2013 Mission","1 2013 Mission",1
18,36,"700 Block Of Bush  Street","Nob Hill",NA,NA,9,2012,700,"Bush","Street",37.793044,-122.414461,"2012 Nob Hill","9 2012 Nob Hill",1
19,37,"700 Block Of Polk  Street","Tenderloin",NA,NA,4,2012,700,"Polk","Street",37.784141,-122.414748,"2012 Tenderloin","4 2012 Tenderloin",1
20,38,"200 Block Of Upper  Terrace","Haight Ashbury/Hayes Valley",NA,NA,1,2012,200,"Upper","Terrace",37.76991,-122.447678,"2012 Haight Ashbury","1 2012 Haight Ashbury",1
21,39,"500 Block Of Bush  Street","Financial District/South Beach/SOMA",NA,NA,1,2012,500,"Bush","Street",37.793213,-122.398187,"2012 Financial District/South Beach","1 2012 Financial District/South Beach",1
22,108,"1200 Block Of Hill  Street","Mission",37.7560363929113,-122.422127840498,9,2013,1200,"Hill","Street",37.758338,-122.414678,"2013 Mission","9 2013 Mission",1
23,110,"400 Block Of Andover  Street","Bernal Heights",37.7374581861069,-122.416593755445,5,2016,400,"Andover","Street",37.741391,-122.414033,"2016 Bernal Heights","5 2016 Bernal Heights",1
24,112,"3400 Block Of 26th  Street","Mission",37.7489900828397,-122.418978300978,10,2013,3400,"26th","Street",37.758338,-122.414678,"2013 Mission","10 2013 Mission",1
25,113,"2800 Block Of Clay  Street","Pacific Heights",37.7899768752383,-122.439970777806,7,2012,2800,"Clay","Street",37.792182,-122.432784,"2012 Pacific Heights","7 2012 Pacific Heights",1
26,114,"2000 Block Of 29th  Avenue","Sunset/Parkside",37.7491050927046,-122.486858136225,7,2012,2000,"29th","Avenue",37.749026,-122.493742,"2012 Sunset/Parkside","7 2012 Sunset/Parkside",1
27,117,"1300 Block Of Haight  Street","Haight Ashbury/Hayes Valley",37.7703182755481,-122.444497038878,5,2015,1300,"Haight","Street",37.76991,-122.447678,"2015 Haight Ashbury","5 2015 Haight Ashbury",1
28,118,"1100 Block Of Market  Street","Financial District/South Beach/SOMA",37.7795699736933,-122.413591420405,8,2012,1100,"Market","Street",37.779527,-122.405727,"2012 South of Market","8 2012 South of Market",1
29,119,"0 Block Of Card  Alley","Chinatown",37.7990003858122,-122.409202101118,9,2012,0,"Card","Alley",37.795073,-122.40635,"2012 Chinatown","9 2012 Chinatown",1
30,120,"200 Block Of Saint Josephs  Avenue","Western Addition",37.7817581597051,-122.441444379227,4,2018,200,"Saint Josephs","Avenue",37.780587,-122.43451,"2018 Western Addition","4 2018 Western Addition",1
31,121,"600 Block Of Page  Street","Haight Ashbury/Hayes Valley",37.7729342755759,-122.431454599471,1,2018,600,"Page","Street",37.776425,-122.426235,"2018 Hayes Valley","1 2018 Hayes Valley",1
32,122,"600 Block Of Spruce  Street","Presidio Heights",37.7828861348331,-122.453410562663,2,2017,600,"Spruce","Street",37.788849,-122.452228,"2017 Presidio Heights","2 2017 Presidio Heights",1
33,123,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,2,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","2 2018 Tenderloin",1
34,124,"200 Block Of Ankeny  Street","Portola",37.719834840434,-122.406109236121,4,2013,200,"Ankeny","Street",37.72647,-122.407642,"2013 Portola","4 2013 Portola",1
35,125,"0 Block Of Manchester  Street","Bernal Heights",37.7459309614322,-122.414253168145,10,2015,0,"Manchester","Street",37.741391,-122.414033,"2015 Bernal Heights","10 2015 Bernal Heights",1
36,126,"100 Block Of Eureka  Street","Castro/Upper Market",37.7598924874117,-122.438188866495,12,2014,100,"Eureka","Street",37.758812,-122.435644,"2014 Castro/Upper Market","12 2014 Castro/Upper Market",1
37,127,"100 Block Of Varennes  Street","North Beach",37.8012053837923,-122.406894293978,5,2014,100,"Varennes","Street",37.799254,-122.407458,"2014 North Beach","5 2014 North Beach",1
38,129,"3000 Block Of Cesar Chavez  Street","Mission",37.7483531573825,-122.411013726458,9,2016,3000,"Cesar Chavez","Street",37.758338,-122.414678,"2016 Mission","9 2016 Mission",1
39,131,"4200 Block Of Balboa  Street","Outer Richmond",37.7753969616,-122.504280501264,1,2014,4200,"Balboa","Street",37.776683,-122.489908,"2014 Outer Richmond","1 2014 Outer Richmond",1
40,132,"300 Block Of Eddy  Street","Tenderloin",37.7837842792956,-122.413764591261,5,2016,300,"Eddy","Street",37.784141,-122.414748,"2016 Tenderloin","5 2016 Tenderloin",1
41,133,"1300 Block Of 45th  Avenue","Sunset/Parkside",37.7614020962468,-122.504922190914,4,2018,1300,"45th","Avenue",37.749026,-122.493742,"2018 Sunset/Parkside","4 2018 Sunset/Parkside",1
42,136,"1700 Block Of Stockton  Street","North Beach",37.8018365660117,-122.409465213539,10,2012,1700,"Stockton","Street",37.799254,-122.407458,"2012 North Beach","10 2012 North Beach",1
43,137,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,3,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","3 2018 Tenderloin",1
44,138,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,2,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","2 2018 Tenderloin",1
45,140,"1500 Block Of Shafter  Avenue","Bayview Hunters Point",37.7305087868314,-122.389791094138,10,2015,1500,"Shafter","Avenue",37.730696,-122.388515,"2015 Bayview Hunters Point","10 2015 Bayview Hunters Point",1
46,142,"0 Block Of Teddy  Avenue","Visitacion Valley",37.7133813881678,-122.403282805583,2,2017,0,"Teddy","Avenue",37.713141,-122.408825,"2017 Visitacion Valley","2 2017 Visitacion Valley",1
47,143,"3000 Block Of Harrison  Street","Mission",37.7491926480276,-122.411569574577,4,2012,3000,"Harrison","Street",37.758338,-122.414678,"2012 Mission","4 2012 Mission",1
48,144,"700 Block Of 36th  Avenue","Outer Richmond",37.7748306910397,-122.496187059869,5,2013,700,"36th","Avenue",37.776683,-122.489908,"2013 Outer Richmond","5 2013 Outer Richmond",1
49,145,"2600 Block Of Hyde  Street","Russian Hill",37.8054785098198,-122.420319415549,10,2015,2600,"Hyde","Street",37.800432,-122.417609,"2015 Russian Hill","10 2015 Russian Hill",1
50,146,"400 Block Of Ellington  Avenue","Excelsior/Outer Mission",37.7116386196981,-122.447464853016,2,2016,400,"Ellington","Avenue",37.709585,-122.455082,"2016 Outer Mission","2 2016 Outer Mission",1
51,148,"900 Block Of Stockton  Street","Chinatown",37.7945004912412,-122.407991201584,4,2014,900,"Stockton","Street",37.795073,-122.40635,"2014 Chinatown","4 2014 Chinatown",1
52,149,"700 Block Of Burnett  Avenue","Twin Peaks",37.7500560501544,-122.445408090629,10,2012,700,"Burnett","Avenue",37.753375,-122.445652,"2012 Twin Peaks","10 2012 Twin Peaks",1
53,150,"200 Block Of Leavenworth  Street","Tenderloin",37.7832591137579,-122.414147669701,11,2017,200,"Leavenworth","Street",37.784141,-122.414748,"2017 Tenderloin","11 2017 Tenderloin",1
54,151,"3400 Block Of 18th  Street","Mission",37.7617683174511,-122.420470448786,3,2014,3400,"18th","Street",37.758338,-122.414678,"2014 Mission","3 2014 Mission",1
55,153,"1200 Block Of De Haro  Street","Potrero Hill",37.7539819442277,-122.4005641526,5,2015,1200,"De Haro","Street",37.759056,-122.398618,"2015 Potrero Hill","5 2015 Potrero Hill",1
56,155,"5000 Block Of Anza  Street","Outer Richmond",37.7773605559145,-122.502269758591,11,2012,5000,"Anza","Street",37.776683,-122.489908,"2012 Outer Richmond","11 2012 Outer Richmond",1
57,157,"900 Block Of Scott  Street","Western Addition",37.778472074143,-122.436790628219,5,2016,900,"Scott","Street",37.780587,-122.43451,"2016 Western Addition","5 2016 Western Addition",1
58,158,"3500 Block Of 21st  Street","Castro/Upper Market",37.7565959979842,-122.426199701767,8,2012,3500,"21st","Street",37.758812,-122.435644,"2012 Castro/Upper Market","8 2012 Castro/Upper Market",1
59,162,"100 Block Of Noriega  Street","Inner Sunset",37.7547300316141,-122.465126276114,3,2016,100,"Noriega","Street",37.762068,-122.467189,"2016 Inner Sunset","3 2016 Inner Sunset",1
60,163,"500 Block Of 02nd  Avenue","Inner Richmond",37.7783562452559,-122.459792595564,3,2013,500,"02nd","Avenue",37.778849,-122.468955,"2013 Inner Richmond","3 2013 Inner Richmond",1
61,164,"700 Block Of Gonzalez  Drive","Lakeshore",37.7174652865467,-122.48062777506,2,2016,700,"Gonzalez","Drive",37.71872,-122.477916,"2016 Lakeshore","2 2016 Lakeshore",1
62,166,"3300 Block Of Cesar Chavez  Street","Bernal Heights",37.7481332146216,-122.417039896006,2,2017,3300,"Cesar Chavez","Street",37.741391,-122.414033,"2017 Bernal Heights","2 2017 Bernal Heights",1
63,168,"100 Block Of Cook  Street","Lone Mountain/USF",37.7811730152169,-122.452006179852,8,2012,100,"Cook","Street",37.777975,-122.452816,"2012 Lone Mountain/USF","8 2012 Lone Mountain/USF",1
64,169,"1300 Block Of 10th  Avenue","Inner Sunset",37.7630589348349,-122.467318184529,1,2013,1300,"10th","Avenue",37.762068,-122.467189,"2013 Inner Sunset","1 2013 Inner Sunset",1
65,170,"400 Block Of Ofarrell  Street","Tenderloin",37.7859445814449,-122.411736546098,3,2016,400,"Ofarrell","Street",37.784141,-122.414748,"2016 Tenderloin","3 2016 Tenderloin",1
66,171,"800 Block Of Gonzalez  Drive","Lakeshore",37.7174652865467,-122.48062777506,10,2018,800,"Gonzalez","Drive",37.71872,-122.477916,"2018 Lakeshore","10 2018 Lakeshore",1
