"","X","nhood_month_year","buyout_amount","count","avg_buyout","month","year","nhood","centroid_lat","centroid_long"
"1",1,"1 2016 Castro/Upper Market",106750,2,53375,1,2016,"Castro/Upper Market",37.758812,-122.435644
"2",2,"1 2016 Excelsior",40000,1,40000,1,2016,"Excelsior",37.7223,-122.431224
"3",3,"1 2016 Haight Ashbury",111703.46,3,37234.4866666667,1,2016,"Haight Ashbury",37.76991,-122.447678
"4",4,"1 2016 Inner Sunset",20000,1,20000,1,2016,"Inner Sunset",37.762068,-122.467189
"5",5,"1 2016 Marina",99500,3,33166.6666666667,1,2016,"Marina",37.802877,-122.436969
"6",6,"1 2016 Mission",1e+05,1,1e+05,1,2016,"Mission",37.758338,-122.414678
"7",7,"1 2016 Nob Hill",5000,1,5000,1,2016,"Nob Hill",37.793044,-122.414461
"8",8,"1 2016 Noe Valley",48500,1,48500,1,2016,"Noe Valley",37.747095,-122.431421
"9",9,"1 2016 Oceanview/Merced/Ingleside",12500,1,12500,1,2016,"Oceanview/Merced/Ingleside",37.718959,-122.462039
"10",10,"1 2016 Outer Mission",5553,1,5553,1,2016,"Outer Mission",37.709585,-122.455082
"11",11,"1 2016 South of Market",22500,1,22500,1,2016,"South of Market",37.779527,-122.405727
"12",12,"1 2016 Sunset/Parkside",13820,3,4606.66666666667,1,2016,"Sunset/Parkside",37.749026,-122.493742
"13",13,"1 2016 Twin Peaks",23283.42,1,23283.42,1,2016,"Twin Peaks",37.753375,-122.445652
"14",14,"1 2016 Visitacion Valley",44000,2,22000,1,2016,"Visitacion Valley",37.713141,-122.408825
"15",15,"1 2016 West of Twin Peaks",83200,3,27733.3333333333,1,2016,"West of Twin Peaks",37.737955,-122.460363
"16",16,"1 2017 Bayview Hunters Point",85950,2,42975,1,2017,"Bayview Hunters Point",37.730696,-122.388515
"17",17,"1 2017 Bernal Heights",40000,1,40000,1,2017,"Bernal Heights",37.741391,-122.414033
"18",18,"1 2017 Excelsior",22597,1,22597,1,2017,"Excelsior",37.7223,-122.431224
