"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"1197","alamo square","san francisco","san francisco",1300,1,NA,NA,0,NA,NA,NA,2001-06-03
"1198","alamo square","san francisco","san francisco",1450,1,NA,NA,0,NA,NA,NA,2004-10-13
"1199","alamo square","san francisco","san francisco",2350,2,1,NA,0,NA,NA,NA,2001-12-02
"1200","alamo square","san francisco","san francisco",3100,4,NA,1900,0,NA,NA,NA,2001-12-02
"1203","alamo square","san francisco","san francisco",2550,3,2,1432,0,NA,NA,NA,2002-06-04
"1204","alamo square","san francisco","san francisco",2200,1,NA,900,0,NA,NA,NA,2008-06-13
"1206","alamo square","san francisco","san francisco",5900,4,NA,NA,0,NA,NA,NA,2006-07-06
"1207","alamo square","san francisco","san francisco",1100,1,NA,NA,0,NA,NA,NA,2003-10-01
"1208","alamo square","san francisco","san francisco",1400,1,NA,NA,0,NA,NA,NA,2003-10-01
"1210","alamo square","san francisco","san francisco",1295,1,NA,NA,0,NA,NA,NA,2004-10-22
"1212","alamo square","san francisco","san francisco",1200,1,NA,NA,0,NA,NA,NA,2004-10-24
"1213","alamo square","san francisco","san francisco",1895,2,NA,NA,0,NA,NA,NA,2004-10-24
"1216","alamo square","san francisco","san francisco",1475,1,NA,NA,0,NA,NA,NA,2004-06-03
"1217","alamo square","san francisco","san francisco",1399,1,NA,NA,0,NA,NA,NA,2004-10-29
"1218","alamo square","san francisco","san francisco",1199,1,NA,NA,0,NA,NA,NA,2004-11-01
"1219","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-11-01
"1220","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-06-12
"1221","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-06-14
"1222","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-06-14
"1223","alamo square","san francisco","san francisco",1450,1,NA,NA,0,NA,NA,NA,2004-12-30
"1224","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-06-16
"1225","alamo square","san francisco","san francisco",1375,1,NA,NA,0,NA,NA,NA,2004-06-18
"1228","alamo square","san francisco","san francisco",1900,1,NA,NA,0,NA,NA,NA,2004-06-19
"1229","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-06-19
"1230","alamo square","san francisco","san francisco",1600,2,NA,NA,0,NA,NA,NA,2004-06-24
"1231","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-06-25
"1232","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-06-27
"1233","alamo square","san francisco","san francisco",1475,1,NA,NA,0,NA,NA,NA,2004-06-28
"1234","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-06-28
"1236","alamo square","san francisco","san francisco",1875,2,NA,NA,0,NA,NA,NA,2004-06-29
"1237","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-11-18
"1238","alamo square","san francisco","san francisco",1600,1,NA,NA,0,NA,NA,NA,2004-06-30
"1239","alamo square","san francisco","san francisco",1195,1,NA,NA,0,NA,NA,NA,2004-11-20
"1241","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-11-21
"1242","alamo square","san francisco","san francisco",1600,1,NA,NA,0,NA,NA,NA,2004-11-21
"1243","alamo square","san francisco","san francisco",1950,1,NA,NA,0,NA,NA,NA,2011-07-24
"1245","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-11-22
"1246","alamo square","san francisco","san francisco",2550,3,2,NA,0,NA,NA,NA,2004-07-05
"1247","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-07-06
"1249","alamo square","san francisco","san francisco",1275,1,NA,NA,0,NA,NA,NA,2004-07-08
"1250","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-07-08
"1251","alamo square","san francisco","san francisco",1225,1,NA,NA,0,NA,NA,NA,2004-07-10
"1252","alamo square","san francisco","san francisco",2399,3,NA,NA,0,NA,NA,NA,2004-07-10
"1253","alamo square","san francisco","san francisco",1600,2,NA,NA,0,NA,NA,NA,2004-07-11
"1254","alamo square","san francisco","san francisco",1895,2,NA,NA,0,NA,NA,NA,2004-12-07
"1255","alamo square","san francisco","san francisco",1550,1,NA,NA,0,NA,NA,NA,2004-08-24
"1257","alamo square","san francisco","san francisco",1725,1,NA,NA,0,NA,NA,NA,2012-02-25
"1259","alamo square","san francisco","san francisco",2400,3,NA,NA,0,NA,NA,NA,2004-07-14
"1260","alamo square","san francisco","san francisco",1800,1,NA,NA,0,NA,NA,NA,2004-12-13
"1261","alamo square","san francisco","san francisco",1999,2,NA,NA,0,NA,NA,NA,2004-07-15
