"","nhood_month_year","avg_rent.mq","year","nhood"
"1","2011 Bayview Hunters Point",22.8288596162265,"2011","Bayview Hunters Point"
"2","2011 Bernal Heights",27.594484472948,"2011","Bernal Heights"
"3","2011 Castro/Upper Market",36.1922133536779,"2011","Castro/Upper Market"
"4","2011 Excelsior/Outer Mission",20.3041224141142,"2011","Excelsior/Outer Mission"
"5","2011 Financial District/South Beach/SOMA",44.2660779419104,"2011","Financial District/South Beach/SOMA"
"6","2011 Glen Park/Noe Valley",29.4251125729522,"2011","Glen Park/Noe Valley"
"7","2011 Haight Ashbury/Hayes Valley",35.0605181811939,"2011","Haight Ashbury/Hayes Valley"
"8","2011 Inner Richmond",22.2911682989915,"2011","Inner Richmond"
"9","2011 Inner Sunset",30.1853244836438,"2011","Inner Sunset"
"10","2011 Lakeshore",26.6974683013434,"2011","Lakeshore"
"11","2011 Lone Mountain/USF",32.4445618925206,"2011","Lone Mountain/USF"
"12","2011 Marina",35.6696354197131,"2011","Marina"
"13","2011 Mission",28.4500055421143,"2011","Mission"
"14","2011 Nob Hill",38.0117197374538,"2011","Nob Hill"
"15","2011 North Beach",39.8962432907292,"2011","North Beach"
"16","2011 Oceanview/Merced/Ingleside",25.9217032577713,"2011","Oceanview/Merced/Ingleside"
"17","2011 Outer Richmond",28.2095909114208,"2011","Outer Richmond"
"18","2011 Pacific Heights",35.4750980320663,"2011","Pacific Heights"
"19","2011 Portola",24.4544756586786,"2011","Portola"
"20","2011 Potrero Hill",32.4079188776713,"2011","Potrero Hill"
"21","2011 Presidio Heights",29.8892212998924,"2011","Presidio Heights"
"22","2011 Russian Hill",35.0398957323828,"2011","Russian Hill"
"24","2011 Seacliff",24.9530463729269,"2011","Seacliff"
"25","2011 Sunset/Parkside",22.3112059235015,"2011","Sunset/Parkside"
"26","2011 Tenderloin",39.9160660742327,"2011","Tenderloin"
"27","2011 Treasure Island",7.17617509867241,"2011","Treasure Island"
"28","2011 Twin Peaks",33.0821574054276,"2011","Twin Peaks"
"29","2011 Visitacion Valley",18.9970676663821,"2011","Visitacion Valley"
"30","2011 West of Twin Peaks",20.6008176141222,"2011","West of Twin Peaks"
"31","2012 Bayview Hunters Point",23.1959743794232,"2012","Bayview Hunters Point"
"32","2012 Bernal Heights",30.024951543531,"2012","Bernal Heights"
"33","2012 Castro/Upper Market",33.7730446059379,"2012","Castro/Upper Market"
"34","2012 Excelsior/Outer Mission",23.0979504585478,"2012","Excelsior/Outer Mission"
"35","2012 Financial District/South Beach/SOMA",42.7950059062797,"2012","Financial District/South Beach/SOMA"
"36","2012 Glen Park/Noe Valley",29.377834395143,"2012","Glen Park/Noe Valley"
"37","2012 Haight Ashbury/Hayes Valley",34.0558788564506,"2012","Haight Ashbury/Hayes Valley"
"38","2012 Inner Richmond",24.5922914394684,"2012","Inner Richmond"
"39","2012 Inner Sunset",30.2924271470661,"2012","Inner Sunset"
"40","2012 Lakeshore",24.4719118691864,"2012","Lakeshore"
"41","2012 Lone Mountain/USF",28.4766920637691,"2012","Lone Mountain/USF"
"42","2012 Marina",36.6709619154513,"2012","Marina"
"43","2012 Mission",28.0400571505875,"2012","Mission"
"44","2012 Nob Hill",38.7354131054907,"2012","Nob Hill"
"45","2012 North Beach",40.3547192866506,"2012","North Beach"
"46","2012 Oceanview/Merced/Ingleside",27.3883838270792,"2012","Oceanview/Merced/Ingleside"
"47","2012 Outer Richmond",23.5636886275711,"2012","Outer Richmond"
"48","2012 Pacific Heights",38.5120818361855,"2012","Pacific Heights"
"49","2012 Portola",25.9944425220029,"2012","Portola"
"50","2012 Potrero Hill",29.9879066208558,"2012","Potrero Hill"
"51","2012 Presidio Heights",34.7718905231138,"2012","Presidio Heights"
"52","2012 Russian Hill",38.0420652515551,"2012","Russian Hill"
"54","2012 Seacliff",24.9044631130731,"2012","Seacliff"
"55","2012 Sunset/Parkside",23.4510494798173,"2012","Sunset/Parkside"
"56","2012 Tenderloin",38.0828029584609,"2012","Tenderloin"
"57","2012 Treasure Island",10.821249920851,"2012","Treasure Island"
"58","2012 Twin Peaks",22.5635505506334,"2012","Twin Peaks"
"59","2012 Visitacion Valley",21.385091240888,"2012","Visitacion Valley"
"60","2012 West of Twin Peaks",25.3701125349278,"2012","West of Twin Peaks"
"61","2012 Western Addition",26.002788197096,"2012","Western Addition"
"62","2013 Bayview Hunters Point",24.2851254028928,"2013","Bayview Hunters Point"
"63","2013 Bernal Heights",31.4822674067145,"2013","Bernal Heights"
"64","2013 Castro/Upper Market",40.5352236399221,"2013","Castro/Upper Market"
"65","2013 Excelsior/Outer Mission",27.8775796983649,"2013","Excelsior/Outer Mission"
"66","2013 Financial District/South Beach/SOMA",46.6854087953656,"2013","Financial District/South Beach/SOMA"
"67","2013 Glen Park/Noe Valley",35.7642818137662,"2013","Glen Park/Noe Valley"
"68","2013 Haight Ashbury/Hayes Valley",41.6261016675284,"2013","Haight Ashbury/Hayes Valley"
"69","2013 Inner Richmond",32.3303197913526,"2013","Inner Richmond"
"70","2013 Inner Sunset",36.2852216060405,"2013","Inner Sunset"
"71","2013 Lone Mountain/USF",34.7595016239542,"2013","Lone Mountain/USF"
"72","2013 Marina",42.1893044598389,"2013","Marina"
"73","2013 Mission",36.4535301448947,"2013","Mission"
