"","address","nhood","lat","long","month","year","block","street_name","street_type"
"16","700 Block Of Kearny  Street","Chinatown","","","9","2018","700","Kearny","Street"
"17","700 Block Of Kearny  Street","Chinatown","","","8","2018","700","Kearny","Street"
"18","0 Block Of Polk  Street","Tenderloin","","","11","2017","0","Polk","Street"
"19","1300 Block Of Hampshire  Street","Mission","","","8","2017","1300","Hampshire","Street"
"20","3300 Block Of 21st  Street","Mission","","","2","2017","3300","21st","Street"
"21","3800 Block Of Folsom  Street","Bernal Heights","","","1","2017","3800","Folsom","Street"
"22","600 Block Of Taylor  Street","Nob Hill","","","7","2016","600","Taylor","Street"
"23","700 Block Of Kearny  Street","Chinatown","","","3","2016","700","Kearny","Street"
"24","1500 Block Of Bay  Street","Marina","","","1","2016","1500","Bay","Street"
"26","1600 Block Of Market  Street","Mission","","","11","2015","1600","Market","Street"
"27","0 Block Of Church  Street","Hayes Valley","","","8","2015","0","Church","Street"
"28","1000 Block Of Pine  Street","Nob Hill","","","2","2015","1000","Pine","Street"
"29","800 Block Of Francisco  Street","Russian Hill","","","12","2014","800","Francisco","Street"
"30","200 Block Of Judson  Avenue","West of Twin Peaks","","","10","2014","200","Judson","Avenue"
"31","100 Block Of Font  Boulevard","Lakeshore","","","3","2014","100","Font","Boulevard"
"34","200 Block Of Divisadero  Street","Haight Ashbury","","","9","2013","200","Divisadero","Street"
"35","0 Block Of Bernice  Street","Mission","","","1","2013","0","Bernice","Street"
"36","700 Block Of Bush  Street","Nob Hill","","","9","2012","700","Bush","Street"
"37","700 Block Of Polk  Street","Tenderloin","","","4","2012","700","Polk","Street"
"38","200 Block Of Upper  Terrace","Haight Ashbury","","","1","2012","200","Upper","Terrace"
"39","500 Block Of Bush  Street","Financial District/South Beach","","","1","2012","500","Bush","Street"
"108","1200 Block Of Hill  Street","Mission","37.7560363929113","-122.422127840498","9","2013","1200","Hill","Street"
"110","400 Block Of Andover  Street","Bernal Heights","37.7374581861069","-122.416593755445","5","2016","400","Andover","Street"
"112","3400 Block Of 26th  Street","Mission","37.7489900828397","-122.418978300978","10","2013","3400","26th","Street"
"113","2800 Block Of Clay  Street","Pacific Heights","37.7899768752383","-122.439970777806","7","2012","2800","Clay","Street"
"114","2000 Block Of 29th  Avenue","Sunset/Parkside","37.7491050927046","-122.486858136225","7","2012","2000","29th","Avenue"
"117","1300 Block Of Haight  Street","Haight Ashbury","37.7703182755481","-122.444497038878","5","2015","1300","Haight","Street"
"118","1100 Block Of Market  Street","South of Market","37.7795699736933","-122.413591420405","8","2012","1100","Market","Street"
"119","0 Block Of Card  Alley","Chinatown","37.7990003858122","-122.409202101118","9","2012","0","Card","Alley"
"120","200 Block Of Saint Josephs  Avenue","Western Addition","37.7817581597051","-122.441444379227","4","2018","200","Saint Josephs","Avenue"
"121","600 Block Of Page  Street","Hayes Valley","37.7729342755759","-122.431454599471","1","2018","600","Page","Street"
"122","600 Block Of Spruce  Street","Presidio Heights","37.7828861348331","-122.453410562663","2","2017","600","Spruce","Street"
"123","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","2","2018","1300","Market","Street"
"124","200 Block Of Ankeny  Street","Portola","37.719834840434","-122.406109236121","4","2013","200","Ankeny","Street"
"125","0 Block Of Manchester  Street","Bernal Heights","37.7459309614322","-122.414253168145","10","2015","0","Manchester","Street"
"126","100 Block Of Eureka  Street","Castro/Upper Market","37.7598924874117","-122.438188866495","12","2014","100","Eureka","Street"
"127","100 Block Of Varennes  Street","North Beach","37.8012053837923","-122.406894293978","5","2014","100","Varennes","Street"
"129","3000 Block Of Cesar Chavez  Street","Mission","37.7483531573825","-122.411013726458","9","2016","3000","Cesar Chavez","Street"
"131","4200 Block Of Balboa  Street","Outer Richmond","37.7753969616","-122.504280501264","1","2014","4200","Balboa","Street"
"132","300 Block Of Eddy  Street","Tenderloin","37.7837842792956","-122.413764591261","5","2016","300","Eddy","Street"
"133","1300 Block Of 45th  Avenue","Sunset/Parkside","37.7614020962468","-122.504922190914","4","2018","1300","45th","Avenue"
"136","1700 Block Of Stockton  Street","North Beach","37.8018365660117","-122.409465213539","10","2012","1700","Stockton","Street"
"137","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","3","2018","1300","Market","Street"
"138","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","2","2018","1300","Market","Street"
"140","1500 Block Of Shafter  Avenue","Bayview Hunters Point","37.7305087868314","-122.389791094138","10","2015","1500","Shafter","Avenue"
"142","0 Block Of Teddy  Avenue","Visitacion Valley","37.7133813881678","-122.403282805583","2","2017","0","Teddy","Avenue"
"143","3000 Block Of Harrison  Street","Mission","37.7491926480276","-122.411569574577","4","2012","3000","Harrison","Street"
"144","700 Block Of 36th  Avenue","Outer Richmond","37.7748306910397","-122.496187059869","5","2013","700","36th","Avenue"
"145","2600 Block Of Hyde  Street","Russian Hill","37.8054785098198","-122.420319415549","10","2015","2600","Hyde","Street"
"146","400 Block Of Ellington  Avenue","Outer Mission","37.7116386196981","-122.447464853016","2","2016","400","Ellington","Avenue"
"148","900 Block Of Stockton  Street","Chinatown","37.7945004912412","-122.407991201584","4","2014","900","Stockton","Street"
"149","700 Block Of Burnett  Avenue","Twin Peaks","37.7500560501544","-122.445408090629","10","2012","700","Burnett","Avenue"
"150","200 Block Of Leavenworth  Street","Tenderloin","37.7832591137579","-122.414147669701","11","2017","200","Leavenworth","Street"
"151","3400 Block Of 18th  Street","Mission","37.7617683174511","-122.420470448786","3","2014","3400","18th","Street"
"153","1200 Block Of De Haro  Street","Potrero Hill","37.7539819442277","-122.4005641526","5","2015","1200","De Haro","Street"
