"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"12","4228","10",1301,"","INDIANA","ST",32,"04","2011"
"20","830","022A",464,"","HICKORY","ST",1,"04","2011"
"155","976","24",2949,"","PACIFIC","AV",1,"04","2011"
"214","3587","49",3665,"","18TH","ST",1,"04","2011"
"215","3587","49",3667,"","18TH","ST",1,"04","2011"
"216","3587","49",3669,"","18TH","ST",1,"04","2011"
"295","4991","277",855,"","JAMESTOWN","AV",18,"04","2011"
"296","4991","277",867,"","JAMESTOWN","AV",18,"04","2011"
"299","4991","277",855,"","JAMESTOWN","AV",18,"04","2011"
"300","4991","277",867,"","JAMESTOWN","AV",18,"04","2011"
"1843","2779","19",477,"","BURNETT","AV",1,"04","2011"
"1851","634","016A",2695,"","SACRAMENTO","ST",1,"04","2011"
"1886","1129","011A",1844,"","TURK","ST",2,"04","2011"
"1981","6941","2",283,"","GRANADA","AV",1,"04","2012"
"1983","3537","87",435,"","DUBOCE","AV",1,"04","2012"
"1986","6656","29",1877,"","CHURCH","ST",1,"04","2012"
"2043","5328","53",1719,"","PALOU","AV",1,"04","2012"
"2052","4761","38",1382,"","REVERE","AV",1,"04","2012"
"2496","1606","37",740,"","39TH","AV",1,"04","2012"
"2964","3594","9",2374,"","FOLSOM","ST",2,"04","2012"
"3013","1279","83",31,"","PARNASSUS","AV",1,"04","2012"
"3889","1466","9",451,"","34TH","AV",1,"04","2012"
"6627","3641","75",926,"","SHOTWELL","ST",1,"04","2013"
"6629","3641","75",926,"","SHOTWELL","ST",1,"04","2013"
"6630","4072","23",2000,"","20TH","ST",1,"04","2013"
"6742","1065","026A",194,"","PARKER","AV",1,"04","2013"
"6746","1775","44",1320,"","21ST","AV",1,"04","2013"
"6786","1932","22",542,"","MORAGA","ST",1,"04","2013"
"6860","681","39",2130,"","POST","ST",4,"04","2013"
"6864","300","12",995,"","SUTTER","ST",3,"04","2013"
"6865","300","232",989,"","SUTTER","ST",3,"04","2013"
"7014","4991","614",115,"","OTTER COVE","TR",8,"04","2013"
"7015","4991","614",129,"","OTTER COVE","TR",8,"04","2013"
"7068","1763","019B",1391,"","08TH","AV",1,"04","2013"
"7505","226","7",605,"","KEARNY","ST",1,"04","2013"
"7763","807","22",444,"","IVY","ST",1,"04","2013"
"8050","1403","32",6847,"","CALIFORNIA","ST",1,"04","2013"
"8051","1403","32",6849,"","CALIFORNIA","ST",1,"04","2013"
"8052","3641","75",926,"","SHOTWELL","ST",1,"04","2013"
"8099","3211","9",248,"","OCEAN","AV",5,"04","2013"
"8162","1405","45",322,"","29TH","AV",1,"04","2013"
"11495","6540","21",4372,"","25TH","ST",1,"04","2014"
"11651","4591C","94",201,"","FRIEDELL","ST",12,"04","2014"
"11740","7282","5",515,"","JOHN MUIR","DR",2,"04","2014"
"12068","3534","69",25,"","DOLORES","ST",37,"04","2014"
"12069","0436C","2",1410,"","JEFFERSON","ST",1,"04","2014"
"12101","0436C","2",1410,"","JEFFERSON","ST",1,"04","2014"
"12140","2766","18",4244,"","22ND","ST",1,"04","2014"
"12160","1568","12",2418,"","BALBOA","ST",1,"04","2014"
"12219","8711","25",1155,"","04TH","ST",147,"04","2014"
"12488","1040","9",47,"","PALM","AV",1,"04","2014"
"12670","3553","54",1515,"","15TH","ST",40,"04","2014"
"12671","3553","54",400,"","SOUTH VAN NESS","AV",40,"04","2014"
