"address","...1","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon"
"1 BEMIS ST , San Francisco, CA, USA",441681,"21/06/2018","6696","1",1,NA,"BEMIS","ST",1,"06",2018,"37.738184","-122.42878"
"1 COUNTRY CLUB DR , San Francisco, CA, USA",475298,"04/05/2017","7275","17",1,NA,"COUNTRY CLUB","DR",1,"05",2017,"37.7302983","-122.49445684767602"
"1 ENTERPRISE ST , San Francisco, CA, USA",357133,"27/12/2016","3572","18",1,NA,"ENTERPRISE","ST",1,"12",2016,"37.7649013","-122.41470710904407"
"1 ENTERPRISE ST , San Francisco, CA, USA",484713,"13/11/2015","3572","18",1,NA,"ENTERPRISE","ST",1,"11",2015,"37.7649013","-122.41470710904407"
"1 FRANKLIN ST , San Francisco, CA, USA",502659,"30/10/2015","837","3",1,NA,"FRANKLIN","ST",35,"10",2015,"37.7743924","-122.4209413"
"1 MCCORMICK ST , San Francisco, CA, USA",437378,"05/06/2017","185","48",1,NA,"MCCORMICK","ST",1,"06",2017,"37.794943450000005","-122.41917527028122"
"1 MCCORMICK ST , San Francisco, CA, USA",531661,"25/09/2017","185","48",1,NA,"MCCORMICK","ST",1,"09",2017,"37.794943450000005","-122.41917527028122"
"1 STANYAN ST , San Francisco, CA, USA",342423,"10/08/2017","1084","001B",1,NA,"STANYAN","ST",13,"08",2017,"37.781038949999996","-122.45652980422346"
"1 TOLEDO WY , San Francisco, CA, USA",491714,"08/11/2017","0486A","1",1,NA,"TOLEDO","WY",5,"11",2017,"37.8014371","-122.43771664768846"
"10 COSO AV , San Francisco, CA, USA",442537,"01/06/2018","5518","1",10,NA,"COSO","AV",2,"06",2018,"37.7464858","-122.41813773333334"
"10 HOFFMAN AV , San Francisco, CA, USA",371571,"24/02/2015","2776","4",10,NA,"HOFFMAN","AV",1,"02",2015,"37.75376705","-122.44111661346163"
"10 HOFFMAN AV , San Francisco, CA, USA",312731,"08/04/2015","2776","4",10,NA,"HOFFMAN","AV",1,"04",2015,"37.75376705","-122.44111661346163"
"10 KENNEDY PL , San Francisco, CA, USA",350526,"07/12/2015","4591C","221",10,NA,"KENNEDY","PL",8,"12",2015,"37.728163","-122.367674"
"10 LUNDYS LN , San Francisco, CA, USA",408812,"02/07/2015","5610","029A",10,NA,"LUNDYS","LN",1,"07",2015,"37.745634300000006","-122.41794354926154"
"10 LUNDYS LN , San Francisco, CA, USA",32713,"01/12/2011","5610","029A",10,NA,"LUNDYS","LN",1,"12",2011,"37.745634300000006","-122.41794354926154"
"10 SLOAT BLVD , San Francisco, CA, USA",364988,"07/12/2018","2541","10",10,NA,"SLOAT","BL",1,"12",2018,"37.735012","-122.472312"
"100 ALPINE TERR , San Francisco, CA, USA",417610,"05/07/2017","2609","66",100,NA,"ALPINE","TR",1,"07",2017,"37.7689157","-122.4377762"
"100 CLIFFORD TERR , San Francisco, CA, USA",272458,"25/05/2007","2617","15",100,NA,"CLIFFORD","TR",1,"05",2007,"37.76424685","-122.44447922205075"
"100 CLIFFORD TERR , San Francisco, CA, USA",267039,NA,"2617","15",100,NA,"CLIFFORD","TR",1,NA,NA,"37.76424685","-122.44447922205075"
"100 CLIFFORD TERR , San Francisco, CA, USA",245673,"14/07/2009","2617","15",100,NA,"CLIFFORD","TR",1,"07",2009,"37.76424685","-122.44447922205075"
"100 CLIFFORD TERR , San Francisco, CA, USA",254205,"02/06/2008","2617","15",100,NA,"CLIFFORD","TR",1,"06",2008,"37.76424685","-122.44447922205075"
"100 LAGUNA ST , San Francisco, CA, USA",535041,"11/09/2018","856","12",100,NA,"LAGUNA","ST",1,"09",2018,"37.7720343","-122.42521602368618"
"100 PUTNAM ST , San Francisco, CA, USA",447989,"20/03/2015","5699","1",100,NA,"PUTNAM","ST",1,"03",2015,"37.738051","-122.411085"
"100 TERRA VISTA AV , San Francisco, CA, USA",455963,"23/03/2017","1104","1",100,NA,"TERRA VISTA","AV",1,"03",2017,"37.78160975","-122.44381406732876"
"100 VAN NESS AV , San Francisco, CA, USA",119142,"27/03/2014","814","20",100,NA,"VAN NESS","AV",399,"03",2014,"37.776641850000004","-122.41918200395409"
"100 VAN NESS AV , San Francisco, CA, USA",471858,"19/05/2016","814","20",100,NA,"VAN NESS","AV",19,"05",2016,"37.776641850000004","-122.41918200395409"
"100 VAN NESS AV , San Francisco, CA, USA",47007,"31/12/2012","814","20",100,NA,"VAN NESS","AV",399,"12",2012,"37.776641850000004","-122.41918200395409"
"100 VAN NESS AV , San Francisco, CA, USA",472592,"25/05/2016","814","20",100,NA,"VAN NESS","AV",19,"05",2016,"37.776641850000004","-122.41918200395409"
"100 VAN NESS AV , San Francisco, CA, USA",451184,"22/03/2016","814","20",100,NA,"VAN NESS","AV",19,"03",2016,"37.776641850000004","-122.41918200395409"
"1000 MASON ST , San Francisco, CA, USA",271949,NA,"223","8",1000,NA,"MASON","ST",3,NA,NA,"37.792897","-122.410929"
"1000 MASON ST , San Francisco, CA, USA",310458,"28/09/2010","223","8",1000,NA,"MASON","ST",3,"09",2010,"37.792897","-122.410929"
"1000 MASON ST , San Francisco, CA, USA",123524,"23/05/2011","223","8",1000,NA,"MASON","ST",3,"05",2011,"37.792897","-122.410929"
"1000 MASON ST , San Francisco, CA, USA",94994,"10/06/2011","223","8",1000,NA,"MASON","ST",4,"06",2011,"37.792897","-122.410929"
"1000 MASONIC AV , San Francisco, CA, USA",331401,"04/08/2015","1222","25",1000,NA,"MASONIC","AV",1,"08",2015,"37.7719974","-122.4455298"
"1000 NEWHALL ST , San Francisco, CA, USA",154261,"07/10/2011","5290","51",1000,NA,"NEWHALL","ST",1,"10",2011,"37.738130299999995","-122.39025654314136"
"1000 POWELL ST , San Francisco, CA, USA",107210,"18/06/2014","211","15",1000,NA,"POWELL","ST",1,"06",2014,"37.794055","-122.409358"
"1001 17TH ST , San Francisco, CA, USA",410170,"24/07/2015","3987","9",1001,NA,"17TH","ST",26,"07",2015,"37.76505245","-122.39413065474504"
"1001 17TH ST , San Francisco, CA, USA",467434,"22/05/2015","3987","9",1001,NA,"17TH","ST",26,"05",2015,"37.76505245","-122.39413065474504"
