"address","...2","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon","neighborhoods"
"1 BEMIS ST , San Francisco, CA, USA",441681,"21/06/2018","6696","1",1,NA,"BEMIS","ST",1,"06",2018,37.738184,-122.42878,"Glen Park"
"1 COUNTRY CLUB DR , San Francisco, CA, USA",475298,"04/05/2017","7275","17",1,NA,"COUNTRY CLUB","DR",1,"05",2017,37.7302983,-122.494456847676,"Sunset/Parkside"
"1 ENTERPRISE ST , San Francisco, CA, USA",357133,"27/12/2016","3572","18",1,NA,"ENTERPRISE","ST",1,"12",2016,37.7649013,-122.414707109044,"Mission"
"1 ENTERPRISE ST , San Francisco, CA, USA",484713,"13/11/2015","3572","18",1,NA,"ENTERPRISE","ST",1,"11",2015,37.7649013,-122.414707109044,"Mission"
"1 FRANKLIN ST , San Francisco, CA, USA",502659,"30/10/2015","837","3",1,NA,"FRANKLIN","ST",35,"10",2015,37.7743924,-122.4209413,"Hayes Valley"
"1 MCCORMICK ST , San Francisco, CA, USA",437378,"05/06/2017","185","48",1,NA,"MCCORMICK","ST",1,"06",2017,37.79494345,-122.419175270281,"Russian Hill"
"1 MCCORMICK ST , San Francisco, CA, USA",531661,"25/09/2017","185","48",1,NA,"MCCORMICK","ST",1,"09",2017,37.79494345,-122.419175270281,"Russian Hill"
"1 STANYAN ST , San Francisco, CA, USA",342423,"10/08/2017","1084","001B",1,NA,"STANYAN","ST",13,"08",2017,37.78103895,-122.456529804223,"Lone Mountain/USF"
"1 TOLEDO WY , San Francisco, CA, USA",491714,"08/11/2017","0486A","1",1,NA,"TOLEDO","WY",5,"11",2017,37.8014371,-122.437716647688,"Marina"
"10 COSO AV , San Francisco, CA, USA",442537,"01/06/2018","5518","1",10,NA,"COSO","AV",2,"06",2018,37.7464858,-122.418137733333,"Bernal Heights"
"10 HOFFMAN AV , San Francisco, CA, USA",371571,"24/02/2015","2776","4",10,NA,"HOFFMAN","AV",1,"02",2015,37.75376705,-122.441116613462,"Noe Valley"
"10 HOFFMAN AV , San Francisco, CA, USA",312731,"08/04/2015","2776","4",10,NA,"HOFFMAN","AV",1,"04",2015,37.75376705,-122.441116613462,"Noe Valley"
"10 KENNEDY PL , San Francisco, CA, USA",350526,"07/12/2015","4591C","221",10,NA,"KENNEDY","PL",8,"12",2015,37.728163,-122.367674,"Bayview Hunters Point"
"10 LUNDYS LN , San Francisco, CA, USA",408812,"02/07/2015","5610","029A",10,NA,"LUNDYS","LN",1,"07",2015,37.7456343,-122.417943549262,"Bernal Heights"
"10 LUNDYS LN , San Francisco, CA, USA",32713,"01/12/2011","5610","029A",10,NA,"LUNDYS","LN",1,"12",2011,37.7456343,-122.417943549262,"Bernal Heights"
"10 SLOAT BLVD , San Francisco, CA, USA",364988,"07/12/2018","2541","10",10,NA,"SLOAT","BL",1,"12",2018,37.735012,-122.472312,"West of Twin Peaks"
"100 ALPINE TERR , San Francisco, CA, USA",417610,"05/07/2017","2609","66",100,NA,"ALPINE","TR",1,"07",2017,37.7689157,-122.4377762,"Castro/Upper Market"
"100 CLIFFORD TERR , San Francisco, CA, USA",272458,"25/05/2007","2617","15",100,NA,"CLIFFORD","TR",1,"05",2007,37.76424685,-122.444479222051,"Haight Ashbury"
"100 CLIFFORD TERR , San Francisco, CA, USA",267039,NA,"2617","15",100,NA,"CLIFFORD","TR",1,NA,NA,37.76424685,-122.444479222051,"Haight Ashbury"
"100 CLIFFORD TERR , San Francisco, CA, USA",245673,"14/07/2009","2617","15",100,NA,"CLIFFORD","TR",1,"07",2009,37.76424685,-122.444479222051,"Haight Ashbury"
"100 CLIFFORD TERR , San Francisco, CA, USA",254205,"02/06/2008","2617","15",100,NA,"CLIFFORD","TR",1,"06",2008,37.76424685,-122.444479222051,"Haight Ashbury"
"100 LAGUNA ST , San Francisco, CA, USA",535041,"11/09/2018","856","12",100,NA,"LAGUNA","ST",1,"09",2018,37.7720343,-122.425216023686,"Hayes Valley"
"100 PUTNAM ST , San Francisco, CA, USA",447989,"20/03/2015","5699","1",100,NA,"PUTNAM","ST",1,"03",2015,37.738051,-122.411085,"Bernal Heights"
