"group","new_units_built","year","nhood"
"2007 Bayview Hunters Point",6,"2007","Bayview Hunters Point"
"2007 Bernal Heights",2,"2007","Bernal Heights"
"2007 Castro/Upper Market",9,"2007","Castro/Upper Market"
"2007 Chinatown",39,"2007","Chinatown"
"2007 Excelsior/Outer Mission",3,"2007","Excelsior/Outer Mission"
"2007 Financial District/South Beach/SOMA",128,"2007","Financial District/South Beach/SOMA"
"2007 Glen Park/Noe Valley",27,"2007","Glen Park/Noe Valley"
"2007 Haight Ashbury/Hayes Valley",13,"2007","Haight Ashbury/Hayes Valley"
"2007 Inner Richmond",7,"2007","Inner Richmond"
"2007 Inner Sunset",8,"2007","Inner Sunset"
"2007 Lone Mountain/USF",11,"2007","Lone Mountain/USF"
"2007 Marina",1,"2007","Marina"
"2007 Mission",35,"2007","Mission"
"2007 Nob Hill",3,"2007","Nob Hill"
"2007 Oceanview/Merced/Ingleside",6,"2007","Oceanview/Merced/Ingleside"
"2007 Outer Richmond",29,"2007","Outer Richmond"
"2007 Pacific Heights",5,"2007","Pacific Heights"
"2007 Potrero Hill",104,"2007","Potrero Hill"
"2007 Presidio Heights",6,"2007","Presidio Heights"
"2007 Russian Hill",7,"2007","Russian Hill"
"2007 Sunset/Parkside",6,"2007","Sunset/Parkside"
"2007 Tenderloin",65,"2007","Tenderloin"
"2007 Twin Peaks",1,"2007","Twin Peaks"
"2007 Visitacion Valley",1,"2007","Visitacion Valley"
"2007 Western Addition",2,"2007","Western Addition"
"2008 Bayview Hunters Point",15,"2008","Bayview Hunters Point"
"2008 Bernal Heights",4,"2008","Bernal Heights"
"2008 Castro/Upper Market",10,"2008","Castro/Upper Market"
"2008 Chinatown",3,"2008","Chinatown"
"2008 Excelsior/Outer Mission",2,"2008","Excelsior/Outer Mission"
"2008 Financial District/South Beach/SOMA",336,"2008","Financial District/South Beach/SOMA"
"2008 Glen Park/Noe Valley",11,"2008","Glen Park/Noe Valley"
"2008 Haight Ashbury/Hayes Valley",19,"2008","Haight Ashbury/Hayes Valley"
"2008 Inner Richmond",13,"2008","Inner Richmond"
"2008 Inner Sunset",4,"2008","Inner Sunset"
"2008 Lone Mountain/USF",154,"2008","Lone Mountain/USF"
"2008 Marina",5,"2008","Marina"
"2008 Mission",137,"2008","Mission"
"2008 Mission Bay",1,"2008","Mission Bay"
"2008 Nob Hill",77,"2008","Nob Hill"
"2008 North Beach",1,"2008","North Beach"
"2008 Oceanview/Merced/Ingleside",5,"2008","Oceanview/Merced/Ingleside"
"2008 Outer Richmond",25,"2008","Outer Richmond"
"2008 Pacific Heights",7,"2008","Pacific Heights"
"2008 Portola",2,"2008","Portola"
"2008 Potrero Hill",36,"2008","Potrero Hill"
"2008 Presidio Heights",4,"2008","Presidio Heights"
"2008 Russian Hill",7,"2008","Russian Hill"
"2008 Sunset/Parkside",4,"2008","Sunset/Parkside"
"2008 Tenderloin",98,"2008","Tenderloin"
"2008 Visitacion Valley",2,"2008","Visitacion Valley"
"2008 West of Twin Peaks",20,"2008","West of Twin Peaks"
"2009 Bayview Hunters Point",1,"2009","Bayview Hunters Point"
"2009 Bernal Heights",2,"2009","Bernal Heights"
"2009 Castro/Upper Market",9,"2009","Castro/Upper Market"
"2009 Chinatown",38,"2009","Chinatown"
"2009 Excelsior/Outer Mission",1,"2009","Excelsior/Outer Mission"
"2009 Financial District/South Beach/SOMA",5,"2009","Financial District/South Beach/SOMA"
"2009 Glen Park/Noe Valley",17,"2009","Glen Park/Noe Valley"
"2009 Haight Ashbury/Hayes Valley",126,"2009","Haight Ashbury/Hayes Valley"
"2009 Inner Richmond",10,"2009","Inner Richmond"
"2009 Inner Sunset",7,"2009","Inner Sunset"
"2009 Lincoln Park",1,"2009","Lincoln Park"
"2009 Lone Mountain/USF",1,"2009","Lone Mountain/USF"
"2009 Marina",6,"2009","Marina"
"2009 Mission",33,"2009","Mission"
"2009 Nob Hill",12,"2009","Nob Hill"
"2009 North Beach",1,"2009","North Beach"
"2009 Oceanview/Merced/Ingleside",3,"2009","Oceanview/Merced/Ingleside"
"2009 Outer Richmond",12,"2009","Outer Richmond"
"2009 Pacific Heights",113,"2009","Pacific Heights"
"2009 Portola",2,"2009","Portola"
"2009 Potrero Hill",11,"2009","Potrero Hill"
"2009 Presidio Heights",5,"2009","Presidio Heights"
"2009 Russian Hill",8,"2009","Russian Hill"
"2009 Sunset/Parkside",1,"2009","Sunset/Parkside"
"2009 Tenderloin",86,"2009","Tenderloin"
"2009 Twin Peaks",1,"2009","Twin Peaks"
"2009 Western Addition",55,"2009","Western Addition"
"2010 Bayview Hunters Point",3,"2010","Bayview Hunters Point"
"2010 Castro/Upper Market",12,"2010","Castro/Upper Market"
"2010 Excelsior/Outer Mission",3,"2010","Excelsior/Outer Mission"
"2010 Financial District/South Beach/SOMA",316,"2010","Financial District/South Beach/SOMA"
"2010 Glen Park/Noe Valley",10,"2010","Glen Park/Noe Valley"
"2010 Haight Ashbury/Hayes Valley",1,"2010","Haight Ashbury/Hayes Valley"
"2010 Inner Richmond",9,"2010","Inner Richmond"
"2010 Inner Sunset",7,"2010","Inner Sunset"
"2010 Marina",3,"2010","Marina"
"2010 Mission",13,"2010","Mission"
"2010 Nob Hill",13,"2010","Nob Hill"
"2010 Outer Richmond",10,"2010","Outer Richmond"
"2010 Pacific Heights",3,"2010","Pacific Heights"
"2010 Potrero Hill",591,"2010","Potrero Hill"
"2010 Presidio Heights",2,"2010","Presidio Heights"
"2010 Russian Hill",7,"2010","Russian Hill"
"2010 Sunset/Parkside",2,"2010","Sunset/Parkside"
"2010 Visitacion Valley",2,"2010","Visitacion Valley"
"2010 Western Addition",53,"2010","Western Addition"
"2011 Bayview Hunters Point",75,"2011","Bayview Hunters Point"
"2011 Bernal Heights",4,"2011","Bernal Heights"
"2011 Castro/Upper Market",10,"2011","Castro/Upper Market"
"2011 Excelsior/Outer Mission",2,"2011","Excelsior/Outer Mission"
"2011 Financial District/South Beach/SOMA",768,"2011","Financial District/South Beach/SOMA"
"2011 Glen Park/Noe Valley",7,"2011","Glen Park/Noe Valley"
"2011 Haight Ashbury/Hayes Valley",24,"2011","Haight Ashbury/Hayes Valley"
"2011 Inner Richmond",8,"2011","Inner Richmond"
"2011 Inner Sunset",4,"2011","Inner Sunset"
"2011 Lone Mountain/USF",3,"2011","Lone Mountain/USF"
"2011 Mission",93,"2011","Mission"
"2011 Nob Hill",7,"2011","Nob Hill"
"2011 North Beach",2,"2011","North Beach"
"2011 Oceanview/Merced/Ingleside",2,"2011","Oceanview/Merced/Ingleside"
"2011 Outer Richmond",9,"2011","Outer Richmond"
"2011 Pacific Heights",5,"2011","Pacific Heights"
"2011 Potrero Hill",234,"2011","Potrero Hill"
"2011 Presidio Heights",2,"2011","Presidio Heights"
"2011 Russian Hill",8,"2011","Russian Hill"
"2011 Sunset/Parkside",3,"2011","Sunset/Parkside"
"2011 Tenderloin",268,"2011","Tenderloin"
"2011 Twin Peaks",1,"2011","Twin Peaks"
"2011 Western Addition",2,"2011","Western Addition"
"2012 Bayview Hunters Point",65,"2012","Bayview Hunters Point"
"2012 Bernal Heights",4,"2012","Bernal Heights"
"2012 Castro/Upper Market",18,"2012","Castro/Upper Market"
"2012 Chinatown",2,"2012","Chinatown"
"2012 Excelsior/Outer Mission",1,"2012","Excelsior/Outer Mission"
"2012 Financial District/South Beach/SOMA",1734,"2012","Financial District/South Beach/SOMA"
"2012 Glen Park/Noe Valley",19,"2012","Glen Park/Noe Valley"
"2012 Haight Ashbury/Hayes Valley",7,"2012","Haight Ashbury/Hayes Valley"
"2012 Inner Richmond",33,"2012","Inner Richmond"
"2012 Inner Sunset",4,"2012","Inner Sunset"
"2012 Lone Mountain/USF",2,"2012","Lone Mountain/USF"
"2012 Marina",4,"2012","Marina"
"2012 Mission",155,"2012","Mission"
"2012 Mission Bay",685,"2012","Mission Bay"
"2012 Nob Hill",6,"2012","Nob Hill"
"2012 Oceanview/Merced/Ingleside",1,"2012","Oceanview/Merced/Ingleside"
"2012 Outer Richmond",11,"2012","Outer Richmond"
"2012 Pacific Heights",5,"2012","Pacific Heights"
"2012 Potrero Hill",392,"2012","Potrero Hill"
"2012 Russian Hill",10,"2012","Russian Hill"
"2012 Sunset/Parkside",7,"2012","Sunset/Parkside"
"2012 Tenderloin",840,"2012","Tenderloin"
"2012 Visitacion Valley",4,"2012","Visitacion Valley"
"2012 Western Addition",3,"2012","Western Addition"
"2013 Bayview Hunters Point",171,"2013","Bayview Hunters Point"
"2013 Bernal Heights",2,"2013","Bernal Heights"
"2013 Castro/Upper Market",13,"2013","Castro/Upper Market"
"2013 Chinatown",10,"2013","Chinatown"
"2013 Excelsior/Outer Mission",7,"2013","Excelsior/Outer Mission"
"2013 Financial District/South Beach/SOMA",918,"2013","Financial District/South Beach/SOMA"
"2013 Glen Park/Noe Valley",15,"2013","Glen Park/Noe Valley"
"2013 Haight Ashbury/Hayes Valley",266,"2013","Haight Ashbury/Hayes Valley"
"2013 Inner Richmond",7,"2013","Inner Richmond"
"2013 Inner Sunset",6,"2013","Inner Sunset"
"2013 Japantown",8,"2013","Japantown"
"2013 Lone Mountain/USF",6,"2013","Lone Mountain/USF"
"2013 Marina",28,"2013","Marina"
"2013 Mission",205,"2013","Mission"
"2013 Mission Bay",790,"2013","Mission Bay"
"2013 Nob Hill",116,"2013","Nob Hill"
"2013 Oceanview/Merced/Ingleside",4,"2013","Oceanview/Merced/Ingleside"
"2013 Outer Richmond",26,"2013","Outer Richmond"
"2013 Pacific Heights",17,"2013","Pacific Heights"
"2013 Portola",1,"2013","Portola"
"2013 Potrero Hill",44,"2013","Potrero Hill"
"2013 Presidio Heights",2,"2013","Presidio Heights"
"2013 Russian Hill",1,"2013","Russian Hill"
"2013 Seacliff",2,"2013","Seacliff"
"2013 Sunset/Parkside",1,"2013","Sunset/Parkside"
"2013 Tenderloin",98,"2013","Tenderloin"
"2013 Twin Peaks",1,"2013","Twin Peaks"
"2013 West of Twin Peaks",1,"2013","West of Twin Peaks"
"2013 Western Addition",59,"2013","Western Addition"
"2014 Bayview Hunters Point",113,"2014","Bayview Hunters Point"
"2014 Bernal Heights",2,"2014","Bernal Heights"
"2014 Castro/Upper Market",111,"2014","Castro/Upper Market"
"2014 Chinatown",2,"2014","Chinatown"
"2014 Excelsior/Outer Mission",3,"2014","Excelsior/Outer Mission"
"2014 Financial District/South Beach/SOMA",2623,"2014","Financial District/South Beach/SOMA"
"2014 Glen Park/Noe Valley",21,"2014","Glen Park/Noe Valley"
