"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"1","",NA,"2919 22nd Street","Mission","POINT (-122.41264785573554 37.75578381152343)"
"2","11/10/2015",12606.13,"1447 Newcomb Avenue","Bayview Hunters Point","POINT (-122.38695925748112 37.73359055209069)"
"3","05/17/2016",15000,"53 Pearl Street","Mission","POINT (-122.42386644283988 37.77047446277523)"
"4","08/24/2018",15000,"759 06th Avenue","Inner Richmond","POINT (-122.46384918215743 37.77435618116678)"
"5","10/15/2021",5000,"655 Stockton Street","Nob Hill","POINT (-122.40747590735671 37.79181479068557)"
"6","05/24/2022",10000,"1215 Jamestown Avenue","Bayview Hunters Point","POINT (-122.39752760514395 37.72068656771708)"
"7","",NA,"1538 Palou Avenue","Bayview Hunters Point","POINT (-122.38979869924381 37.73338217812071)"
"8","",NA,"242 Divisadero Street","Haight Ashbury","POINT (-122.43694061944176 37.771108283445294)"
"9","10/03/2018",2e+05,"2424 Gough Street","Pacific Heights","POINT (-122.42673565138769 37.79560500367343)"
"10","02/04/2022",35000,"229 Judson Avenue","West of Twin Peaks","POINT (-122.44727714689685 37.72824738140965)"
"11","11/21/2016",10640,"1532 Fulton Street","Lone Mountain/USF","POINT (-122.44208267653045 37.776393483057014)"
"12","06/19/2017",81435.08,"676 Castro Street","Castro/Upper Market","POINT (-122.43478460855438 37.75809867598051)"
"13","04/21/2022",52000,"509 Randolph Street","Oceanview/Merced/Ingleside","POINT (-122.4672757226786 37.71424979860403)"
"14","",NA,"26 Farallones Street","Oceanview/Merced/Ingleside","POINT (-122.45321613788362 37.71412859813492)"
"15","05/05/2016",21597,"2106 26th Avenue","Sunset/Parkside","POINT (-122.48354757344303 37.74812776778334)"
"16","07/23/2018",85000,"448 14th Street","Mission","POINT (-122.42330095846856 37.768106177514234)"
"17","",NA,"1520 Masonic Avenue","Haight Ashbury","POINT (-122.44428140682288 37.76610115233492)"
"18","",NA,"2632 Wawona Street","Sunset/Parkside","POINT (-122.49499393980453 37.7366198557115)"
"19","",NA,"3256 Folsom Street","Bernal Heights","POINT (-122.41350303912257 37.745977795655676)"
"20","12/04/2019",20939,"1966 Pacific Avenue","Pacific Heights","POINT (-122.42760163413871 37.794292622951566)"
"21","",NA,"3039 california Street","Presidio Heights","POINT (-122.44442566373169 37.787541214281305)"
"22","01/19/2017",7500,"2635 Sacramento Street","Pacific Heights","POINT (-122.43628629052884 37.78953114334905)"
"23","12/26/2019",45000,"1972 Union Street","Marina","POINT (-122.4317901918954 37.797593620850755)"
"24","",NA,"748 Page Street","Haight Ashbury","POINT (-122.43310528898881 37.77275825536279)"
"25","",NA,"414 Texas Street","Potrero Hill","POINT (-122.39546142676447 37.76111524023878)"
"26","",NA,"1566 Green Street","Marina","POINT (-122.42487977042164 37.79751291342802)"
"27","",NA,"903 North POint Street","Russian Hill","POINT (-122.42215583938022 37.80545694591264)"
"28","08/09/2019",15500,"744 Dartmouth Street","Portola","POINT (-122.40982074301157 37.72142037929128)"
"29","",NA,"1304 Francisco Street","Marina","POINT (-122.42675391037447 37.803008229502964)"
"30","",NA,"262 Missouri Street","Potrero Hill","POINT (-122.39661943476598 37.76307334087507)"
"31","11/15/2016",24500,"421 Lyon Street","Lone Mountain/USF","POINT (-122.44285130590897 37.774603271217025)"
"32","08/18/2017",3000,"1985 San Jose Avenue","Outer Mission","POINT (-122.44276671403588 37.72531491312141)"
"33","",NA,"20 Romolo Place","North Beach","POINT (-122.40625987964388 37.798161017994616)"
"34","12/10/2021",26137,"1503 Waller Street","Haight Ashbury","POINT (-122.44854458334272 37.76882412734072)"
"35","09/05/2019",55353.11,"972 Harrison Street","South of Market","POINT (-122.40339237139099 37.777861804758224)"
"36","",NA,"837 Union Street","Russian Hill","POINT (-122.41311450802363 37.799930443277475)"
"37","05/10/2022",15000,"3435 Cesar Chavez Street","Bernal Heights","POINT (-122.41897791888638 37.74807107134142)"
"38","12/04/2017",30000,"647 Vienna Street","Excelsior","POINT (-122.43212115190602 37.71817208783197)"
"39","08/30/2019",50000,"381 day Street","Noe Valley","POINT (-122.43055423445718 37.742637680249054)"
"40","",NA,"2060 Golden Gate Avenue","Lone Mountain/USF","POINT (-122.44450965755753 37.77799986032743)"
"41","",NA,"3525 Cabrillo Street","Outer Richmond","POINT (-122.49644584284925 37.77386091694846)"
"42","09/04/2018",35000,"1290 Grove Street","Hayes Valley","POINT (-122.43777819517838 37.77598629937515)"
"43","",NA,"1555 Oak Street","Haight Ashbury","POINT (-122.44495323360628 37.77215658353115)"
"44","",NA,"8300 Geary Boulevard","Outer Richmond","POINT (-122.50842918750223 37.779040528606835)"
"45","",NA,"2130 Steiner Street","Pacific Heights","POINT (-122.43557861809764 37.78926971114765)"
"46","",NA,"94 Cameo Way","Noe Valley","POINT (-122.44307487827932 37.74498962282974)"
"47","02/27/2017",50000,"1728 Cabrillo Street","Outer Richmond","POINT (-122.47719918446077 37.774794583963285)"
"48","",NA,"150 Ellert Street","Bernal Heights","POINT (-122.41721311082341 37.73833370322419)"
"49","",NA,"71 Santa Marina Street","Bernal Heights","POINT (-122.42166003749044 37.74008854443008)"
"50","",NA,"175 Brighton Avenue","Oceanview/Merced/Ingleside","POINT (-122.45517195433716 37.72136350838379)"
"51","05/03/2021",30013.05,"240 Bowdoin Street","Portola","POINT (-122.41300864229112 37.73116697178471)"
