"","year_nhood","buyout_amount","Count","avg_buyout"
"1","2015 Bayview Hunters Point",14906.13,2,7453.065
"2","2015 Bernal Heights",272358,7,38908.2857142857
"3","2015 Castro/Upper Market",686198.86,17,40364.6388235294
"4","2015 Chinatown",75000,3,25000
"5","2015 Excelsior",171750,8,21468.75
"6","2015 Glen Park",176118.79,4,44029.6975
"7","2015 Haight Ashbury",341673.85,8,42709.23125
"8","2015 Hayes Valley",82000,5,16400
"9","2015 Inner Richmond",143375.5,4,35843.875
"10","2015 Inner Sunset",162780,6,27130
"11","2015 Japantown",23500,1,23500
"12","2015 Lone Mountain/USF",32000,4,8000
"13","2015 Marina",646748.59,10,64674.859
"14","2015 Mission",1484337.11,27,54975.4485185185
"15","2015 Nob Hill",157300,7,22471.4285714286
"16","2015 Noe Valley",442900,9,49211.1111111111
"17","2015 North Beach",102422,3,34140.6666666667
"18","2015 Oceanview/Merced/Ingleside",59000,2,29500
"19","2015 Outer Mission",140000,3,46666.6666666667
"20","2015 Outer Richmond",299958,10,29995.8
"21","2015 Pacific Heights",NA,12,NA
"22","2015 Portola",30000,1,30000
"23","2015 Potrero Hill",28000,1,28000
"24","2015 Presidio Heights",25874,1,25874
"25","2015 Russian Hill",40354,2,20177
"26","2015 Seacliff",98068.8,2,49034.4
"27","2015 Sunset/Parkside",574854,17,33814.9411764706
"28","2015 Tenderloin",25000,1,25000
"29","2015 Twin Peaks",10000,1,10000
"30","2015 Visitacion Valley",87611,4,21902.75
"31","2015 West of Twin Peaks",30102,3,10034
"32","2015 Western Addition",240336,7,34333.7142857143
"33","2016 Bayview Hunters Point",201455,6,33575.8333333333
"34","2016 Bernal Heights",NA,14,NA
"35","2016 Castro/Upper Market",516308,9,57367.5555555556
"36","2016 Chinatown",28000,1,28000
"37","2016 Excelsior",210546.77,10,21054.677
"38","2016 Haight Ashbury",686321.07,16,42895.066875
"39","2016 Hayes Valley",534240.29,17,31425.8994117647
"40","2016 Inner Richmond",428989.1,8,53623.6375
"41","2016 Inner Sunset",319780,6,53296.6666666667
"42","2016 Lone Mountain/USF",528970,10,52897
"43","2016 Marina",549100,15,36606.6666666667
"44","2016 Mission",NA,36,NA
"45","2016 Nob Hill",NA,11,NA
"46","2016 Noe Valley",716814.7,15,47787.6466666667
"47","2016 North Beach",259388.76,8,32423.595
"48","2016 Oceanview/Merced/Ingleside",66050,4,16512.5
"49","2016 Outer Mission",88650,5,17730
"50","2016 Outer Richmond",605327,15,40355.1333333333
"51","2016 Pacific Heights",630327.06,17,37078.0623529412
"52","2016 Portola",189640,3,63213.3333333333
"53","2016 Potrero Hill",311134,10,31113.4
"54","2016 Presidio Heights",232165.92,5,46433.184
"55","2016 Russian Hill",292500,9,32500
"56","2016 South of Market",240200,9,26688.8888888889
"57","2016 Sunset/Parkside",867783.48,28,30992.2671428571
"58","2016 Tenderloin",7000,1,7000
"59","2016 Twin Peaks",153283.42,3,51094.4733333333
"60","2016 Visitacion Valley",195997.5,7,27999.6428571429
"61","2016 West of Twin Peaks",124200,6,20700
"62","2016 Western Addition",297859,10,29785.9
"63","2017 Bayview Hunters Point",NA,10,NA
"64","2017 Bernal Heights",NA,12,NA
"65","2017 Castro/Upper Market",1079591.08,23,46938.7426086957
"66","2017 Chinatown",305000,2,152500
"67","2017 Excelsior",564639.41,20,28231.9705
"68","2017 Glen Park",107258.96,4,26814.74
"69","2017 Haight Ashbury",445384.06,14,31813.1471428571
"70","2017 Hayes Valley",864367.6,16,54022.975
"71","2017 Inner Richmond",325687.06,12,27140.5883333333
"72","2017 Inner Sunset",233096,9,25899.5555555556
"73","2017 Japantown",105203.48,3,35067.8266666667
"74","2017 Lone Mountain/USF",499692.57,7,71384.6528571429
"75","2017 Marina",650898.81,12,54241.5675
"76","2017 McLaren Park",6800,1,6800
"77","2017 Mission",1854229.46,28,66222.4807142857
"78","2017 Nob Hill",173719,5,34743.8
"79","2017 Noe Valley",1252414.15,20,62620.7075
"80","2017 North Beach",222901.95,5,44580.39
"81","2017 Oceanview/Merced/Ingleside",329176,9,36575.1111111111
"82","2017 Outer Mission",76200,4,19050
"83","2017 Outer Richmond",1067862.67,23,46428.8117391304
"84","2017 Pacific Heights",481233.37,17,28307.8452941176
"85","2017 Potrero Hill",293739,7,41962.7142857143
"86","2017 Presidio",34000,1,34000
"87","2017 Presidio Heights",95000,3,31666.6666666667
"88","2017 Russian Hill",597314.08,9,66368.2311111111
"89","2017 South of Market",25475,2,12737.5
"90","2017 Sunset/Parkside",NA,26,NA
"91","2017 Tenderloin",91000,3,30333.3333333333
"92","2017 Twin Peaks",83500,2,41750
"93","2017 Visitacion Valley",29050,1,29050
"94","2017 West of Twin Peaks",NA,11,NA
"95","2017 Western Addition",234846.21,6,39141.035
"96","2018 Bayview Hunters Point",209358,9,23262
"97","2018 Bernal Heights",243799,10,24379.9
"98","2018 Castro/Upper Market",1168174.5,20,58408.725
"99","2018 Chinatown",116963.48,5,23392.696
"100","2018 Excelsior",181068.5,9,20118.7222222222
"101","2018 Financial District/South Beach",138000,1,138000
"102","2018 Glen Park",236500,5,47300
"103","2018 Haight Ashbury",659229.7,16,41201.85625
"104","2018 Hayes Valley",368709.76,8,46088.72
"105","2018 Inner Richmond",555824.79,12,46318.7325
"106","2018 Inner Sunset",750899.58,19,39521.0305263158
"107","2018 Lakeshore",14200,1,14200
"108","2018 Lincoln Park",29800,1,29800
"109","2018 Lone Mountain/USF",524456.59,8,65557.07375
"110","2018 Marina",656289.71,14,46877.8364285714
"111","2018 McLaren Park",35000,1,35000
"112","2018 Mission",2156778.15,46,46886.4815217391
"113","2018 Nob Hill",NA,11,NA
"114","2018 Noe Valley",729449.01,14,52103.5007142857
"115","2018 North Beach",168000,3,56000
"116","2018 Oceanview/Merced/Ingleside",142400,6,23733.3333333333
"117","2018 Outer Mission",473330.22,13,36410.0169230769
"118","2018 Outer Richmond",891745.9,20,44587.295
"119","2018 Pacific Heights",671070.83,13,51620.8330769231
"120","2018 Portola",169455.89,5,33891.178
"121","2018 Potrero Hill",NA,12,NA
"122","2018 Presidio Heights",244300,8,30537.5
"123","2018 Russian Hill",591720.38,12,49310.0316666667
"124","2018 South of Market",115000,2,57500
"125","2018 Sunset/Parkside",693342,22,31515.5454545455
"126","2018 Tenderloin",465750,5,93150
"127","2018 Twin Peaks",90000,3,30000
"128","2018 Visitacion Valley",75000,4,18750
"129","2018 West of Twin Peaks",NA,14,NA
"130","2018 Western Addition",214672,5,42934.4
"131","2019 Bayview Hunters Point",125000,4,31250
"132","2019 Bernal Heights",559188.08,11,50835.28
"133","2019 Castro/Upper Market",NA,18,NA
"134","2019 Chinatown",23268,1,23268
"135","2019 Excelsior",210124,10,21012.4
"136","2019 Glen Park",82200,2,41100
"137","2019 Haight Ashbury",734773.21,12,61231.1008333333
"138","2019 Hayes Valley",904643.58,20,45232.179
"139","2019 Inner Richmond",388378.68,12,32364.89
"140","2019 Inner Sunset",447962.14,11,40723.8309090909
"141","2019 Lakeshore",NA,2,NA
"142","2019 Lone Mountain/USF",NA,5,NA
"143","2019 Marina",444295.99,12,37024.6658333333
"144","2019 Mission",NA,41,NA
"145","2019 Nob Hill",403394.86,9,44821.6511111111
"146","2019 Noe Valley",1080640,14,77188.5714285714
"147","2019 North Beach",836884.96,10,83688.496
"148","2019 Oceanview/Merced/Ingleside",126900,5,25380
"149","2019 Outer Mission",296438.32,8,37054.79
"150","2019 Outer Richmond",NA,18,NA
"151","2019 Pacific Heights",NA,19,NA
"152","2019 Portola",311062,12,25921.8333333333
"153","2019 Potrero Hill",24627,2,12313.5
"154","2019 Presidio Heights",930206.34,15,62013.756
"155","2019 Russian Hill",1180453,19,62129.1052631579
"156","2019 Seacliff",22500,2,11250
"157","2019 South of Market",120353.11,3,40117.7033333333
