"","nhood_month_year","count","month","year","nhood"
"1","1 1997 Bayview Hunters Point",2,"1","1997","Bayview Hunters Point"
"2","1 1997 Bernal Heights",10,"1","1997","Bernal Heights"
"3","1 1997 Castro/Upper Market",7,"1","1997","Castro/Upper Market"
"4","1 1997 Chinatown",1,"1","1997","Chinatown"
"5","1 1997 Excelsior",3,"1","1997","Excelsior"
"6","1 1997 Haight Ashbury",7,"1","1997","Haight Ashbury"
"7","1 1997 Hayes Valley",3,"1","1997","Hayes Valley"
"8","1 1997 Inner Richmond",4,"1","1997","Inner Richmond"
"9","1 1997 Inner Sunset",3,"1","1997","Inner Sunset"
"10","1 1997 Lakeshore",6,"1","1997","Lakeshore"
"11","1 1997 Lone Mountain/USF",2,"1","1997","Lone Mountain/USF"
"12","1 1997 Marina",8,"1","1997","Marina"
"13","1 1997 Mission",19,"1","1997","Mission"
"14","1 1997 Nob Hill",6,"1","1997","Nob Hill"
"15","1 1997 Noe Valley",7,"1","1997","Noe Valley"
"16","1 1997 North Beach",4,"1","1997","North Beach"
"17","1 1997 Oceanview/Merced/Ingleside",2,"1","1997","Oceanview/Merced/Ingleside"
"18","1 1997 Outer Mission",1,"1","1997","Outer Mission"
"19","1 1997 Outer Richmond",9,"1","1997","Outer Richmond"
"20","1 1997 Pacific Heights",6,"1","1997","Pacific Heights"
"21","1 1997 Potrero Hill",2,"1","1997","Potrero Hill"
"22","1 1997 Presidio Heights",2,"1","1997","Presidio Heights"
"23","1 1997 Russian Hill",3,"1","1997","Russian Hill"
"24","1 1997 South of Market",7,"1","1997","South of Market"
"25","1 1997 Sunset/Parkside",13,"1","1997","Sunset/Parkside"
"26","1 1997 Tenderloin",6,"1","1997","Tenderloin"
"27","1 1997 Twin Peaks",1,"1","1997","Twin Peaks"
"28","1 1997 Visitacion Valley",3,"1","1997","Visitacion Valley"
"29","1 1997 West of Twin Peaks",6,"1","1997","West of Twin Peaks"
"30","1 1997 Western Addition",4,"1","1997","Western Addition"
"31","1 1998 Bayview Hunters Point",10,"1","1998","Bayview Hunters Point"
"32","1 1998 Bernal Heights",11,"1","1998","Bernal Heights"
"33","1 1998 Castro/Upper Market",12,"1","1998","Castro/Upper Market"
"34","1 1998 Chinatown",2,"1","1998","Chinatown"
"35","1 1998 Excelsior",6,"1","1998","Excelsior"
"36","1 1998 Financial District/South Beach",2,"1","1998","Financial District/South Beach"
"37","1 1998 Glen Park",3,"1","1998","Glen Park"
"38","1 1998 Golden Gate Park",1,"1","1998","Golden Gate Park"
"39","1 1998 Haight Ashbury",7,"1","1998","Haight Ashbury"
"40","1 1998 Hayes Valley",11,"1","1998","Hayes Valley"
"41","1 1998 Inner Richmond",5,"1","1998","Inner Richmond"
"42","1 1998 Inner Sunset",5,"1","1998","Inner Sunset"
"43","1 1998 Lakeshore",4,"1","1998","Lakeshore"
"44","1 1998 Lone Mountain/USF",7,"1","1998","Lone Mountain/USF"
"45","1 1998 Marina",8,"1","1998","Marina"
"46","1 1998 Mission",18,"1","1998","Mission"
"47","1 1998 Nob Hill",5,"1","1998","Nob Hill"
"48","1 1998 Noe Valley",9,"1","1998","Noe Valley"
"49","1 1998 North Beach",5,"1","1998","North Beach"
"50","1 1998 Outer Mission",2,"1","1998","Outer Mission"
"51","1 1998 Outer Richmond",8,"1","1998","Outer Richmond"
"52","1 1998 Pacific Heights",7,"1","1998","Pacific Heights"
"53","1 1998 Portola",3,"1","1998","Portola"
"54","1 1998 Potrero Hill",5,"1","1998","Potrero Hill"
"55","1 1998 Presidio Heights",3,"1","1998","Presidio Heights"
"56","1 1998 Russian Hill",6,"1","1998","Russian Hill"
"57","1 1998 Sunset/Parkside",14,"1","1998","Sunset/Parkside"
"58","1 1998 Tenderloin",5,"1","1998","Tenderloin"
"59","1 1998 Twin Peaks",4,"1","1998","Twin Peaks"
"60","1 1998 Visitacion Valley",3,"1","1998","Visitacion Valley"
"61","1 1998 West of Twin Peaks",7,"1","1998","West of Twin Peaks"
"62","1 1999 Bayview Hunters Point",6,"1","1999","Bayview Hunters Point"
"63","1 1999 Bernal Heights",7,"1","1999","Bernal Heights"
"64","1 1999 Castro/Upper Market",8,"1","1999","Castro/Upper Market"
"65","1 1999 Excelsior",4,"1","1999","Excelsior"
"66","1 1999 Financial District/South Beach",7,"1","1999","Financial District/South Beach"
"67","1 1999 Glen Park",4,"1","1999","Glen Park"
"68","1 1999 Haight Ashbury",8,"1","1999","Haight Ashbury"
"69","1 1999 Hayes Valley",7,"1","1999","Hayes Valley"
"70","1 1999 Inner Sunset",7,"1","1999","Inner Sunset"
"71","1 1999 Japantown",1,"1","1999","Japantown"
"72","1 1999 Lakeshore",4,"1","1999","Lakeshore"
"73","1 1999 Lone Mountain/USF",6,"1","1999","Lone Mountain/USF"
"74","1 1999 Marina",5,"1","1999","Marina"
"75","1 1999 Mission",13,"1","1999","Mission"
"76","1 1999 Nob Hill",5,"1","1999","Nob Hill"
"77","1 1999 Noe Valley",11,"1","1999","Noe Valley"
"78","1 1999 North Beach",1,"1","1999","North Beach"
"79","1 1999 Oceanview/Merced/Ingleside",2,"1","1999","Oceanview/Merced/Ingleside"
"80","1 1999 Outer Mission",4,"1","1999","Outer Mission"
"81","1 1999 Outer Richmond",10,"1","1999","Outer Richmond"
"82","1 1999 Pacific Heights",4,"1","1999","Pacific Heights"
"83","1 1999 Portola",1,"1","1999","Portola"
"84","1 1999 Potrero Hill",5,"1","1999","Potrero Hill"
"85","1 1999 Presidio Heights",1,"1","1999","Presidio Heights"
"86","1 1999 Russian Hill",2,"1","1999","Russian Hill"
"87","1 1999 Seacliff",1,"1","1999","Seacliff"
"88","1 1999 South of Market",2,"1","1999","South of Market"
"89","1 1999 Sunset/Parkside",9,"1","1999","Sunset/Parkside"
"90","1 1999 Tenderloin",8,"1","1999","Tenderloin"
"91","1 1999 Twin Peaks",2,"1","1999","Twin Peaks"
"92","1 1999 West of Twin Peaks",3,"1","1999","West of Twin Peaks"
"93","1 1999 Western Addition",4,"1","1999","Western Addition"
"94","1 2000 Bayview Hunters Point",6,"1","2000","Bayview Hunters Point"
"95","1 2000 Bernal Heights",8,"1","2000","Bernal Heights"
"96","1 2000 Castro/Upper Market",8,"1","2000","Castro/Upper Market"
"97","1 2000 Excelsior",2,"1","2000","Excelsior"
"98","1 2000 Golden Gate Park",2,"1","2000","Golden Gate Park"
"99","1 2000 Haight Ashbury",4,"1","2000","Haight Ashbury"
"100","1 2000 Hayes Valley",5,"1","2000","Hayes Valley"
"101","1 2000 Inner Richmond",7,"1","2000","Inner Richmond"
"102","1 2000 Inner Sunset",2,"1","2000","Inner Sunset"
"103","1 2000 Japantown",1,"1","2000","Japantown"
"104","1 2000 Lone Mountain/USF",3,"1","2000","Lone Mountain/USF"
"105","1 2000 Marina",2,"1","2000","Marina"
"106","1 2000 Mission",13,"1","2000","Mission"
"107","1 2000 Nob Hill",6,"1","2000","Nob Hill"
"108","1 2000 North Beach",2,"1","2000","North Beach"
"109","1 2000 Oceanview/Merced/Ingleside",1,"1","2000","Oceanview/Merced/Ingleside"
"110","1 2000 Outer Mission",4,"1","2000","Outer Mission"
"111","1 2000 Outer Richmond",7,"1","2000","Outer Richmond"
"112","1 2000 Pacific Heights",1,"1","2000","Pacific Heights"
"113","1 2000 Portola",1,"1","2000","Portola"
"114","1 2000 Potrero Hill",2,"1","2000","Potrero Hill"
"115","1 2000 Presidio Heights",3,"1","2000","Presidio Heights"
"116","1 2000 Russian Hill",4,"1","2000","Russian Hill"
"117","1 2000 South of Market",3,"1","2000","South of Market"
"118","1 2000 Sunset/Parkside",14,"1","2000","Sunset/Parkside"
"119","1 2000 Tenderloin",4,"1","2000","Tenderloin"
"120","1 2000 Twin Peaks",2,"1","2000","Twin Peaks"
"121","1 2000 West of Twin Peaks",2,"1","2000","West of Twin Peaks"
"122","1 2000 Western Addition",1,"1","2000","Western Addition"
"123","1 2001 Bayview Hunters Point",2,"1","2001","Bayview Hunters Point"
"124","1 2001 Bernal Heights",2,"1","2001","Bernal Heights"
"125","1 2001 Castro/Upper Market",6,"1","2001","Castro/Upper Market"
"126","1 2001 Chinatown",2,"1","2001","Chinatown"
"127","1 2001 Excelsior",8,"1","2001","Excelsior"
"128","1 2001 Glen Park",1,"1","2001","Glen Park"
"129","1 2001 Haight Ashbury",6,"1","2001","Haight Ashbury"
"130","1 2001 Hayes Valley",3,"1","2001","Hayes Valley"
"131","1 2001 Inner Richmond",4,"1","2001","Inner Richmond"
"132","1 2001 Inner Sunset",3,"1","2001","Inner Sunset"
"133","1 2001 Lakeshore",1,"1","2001","Lakeshore"
"134","1 2001 Lone Mountain/USF",4,"1","2001","Lone Mountain/USF"
"135","1 2001 Marina",6,"1","2001","Marina"
"136","1 2001 Mission",20,"1","2001","Mission"
"137","1 2001 Nob Hill",8,"1","2001","Nob Hill"
"138","1 2001 Noe Valley",5,"1","2001","Noe Valley"
"139","1 2001 North Beach",3,"1","2001","North Beach"
"140","1 2001 Oceanview/Merced/Ingleside",4,"1","2001","Oceanview/Merced/Ingleside"
"141","1 2001 Outer Mission",2,"1","2001","Outer Mission"
"142","1 2001 Outer Richmond",9,"1","2001","Outer Richmond"
"143","1 2001 Pacific Heights",10,"1","2001","Pacific Heights"
"144","1 2001 Portola",3,"1","2001","Portola"
"145","1 2001 Potrero Hill",5,"1","2001","Potrero Hill"
"146","1 2001 Presidio Heights",6,"1","2001","Presidio Heights"
