"","nhood_month_year","count","year","nhood"
"1","2011 Bayview Hunters Point",31,"2011","Bayview Hunters Point"
"2","2011 Bernal Heights",37,"2011","Bernal Heights"
"3","2011 Castro/Upper Market",35,"2011","Castro/Upper Market"
"4","2011 Chinatown",17,"2011","Chinatown"
"5","2011 Excelsior/Outer Mission",53,"2011","Excelsior/Outer Mission"
"6","2011 Financial District/South Beach/SOMA",38,"2011","Financial District/South Beach/SOMA"
"7","2011 Glen Park/Noe Valley",43,"2011","Glen Park/Noe Valley"
"8","2011 Golden Gate Park",8,"2011","Golden Gate Park"
"9","2011 Haight Ashbury/Hayes Valley",68,"2011","Haight Ashbury/Hayes Valley"
"10","2011 Inner Richmond",17,"2011","Inner Richmond"
"11","2011 Inner Sunset",31,"2011","Inner Sunset"
"12","2011 Japantown",4,"2011","Japantown"
"13","2011 Lakeshore",157,"2011","Lakeshore"
"14","2011 Lone Mountain/USF",13,"2011","Lone Mountain/USF"
"15","2011 Marina",39,"2011","Marina"
"16","2011 Mission",96,"2011","Mission"
"17","2011 Mission Bay",5,"2011","Mission Bay"
"18","2011 Nob Hill",31,"2011","Nob Hill"
"19","2011 North Beach",22,"2011","North Beach"
"20","2011 Oceanview/Merced/Ingleside",20,"2011","Oceanview/Merced/Ingleside"
"21","2011 Outer Richmond",44,"2011","Outer Richmond"
"22","2011 Pacific Heights",29,"2011","Pacific Heights"
"23","2011 Portola",10,"2011","Portola"
"24","2011 Potrero Hill",23,"2011","Potrero Hill"
"25","2011 Presidio Heights",10,"2011","Presidio Heights"
"26","2011 Russian Hill",22,"2011","Russian Hill"
"27","2011 Seacliff",4,"2011","Seacliff"
"28","2011 Sunset/Parkside",56,"2011","Sunset/Parkside"
"29","2011 Tenderloin",49,"2011","Tenderloin"
"30","2011 Twin Peaks",14,"2011","Twin Peaks"
"31","2011 Visitacion Valley",13,"2011","Visitacion Valley"
"32","2011 West of Twin Peaks",17,"2011","West of Twin Peaks"
