"...1","X","nhood_month_year","count","year","nhood","centroid_lat","centroid_long"
1,1,"2011 Bayview Hunters Point",31,2011,"Bayview Hunters Point",37.730696,-122.388515
2,2,"2011 Bernal Heights",37,2011,"Bernal Heights",37.741391,-122.414033
3,3,"2011 Castro/Upper Market",35,2011,"Castro/Upper Market",37.758812,-122.435644
4,4,"2011 Chinatown",17,2011,"Chinatown",37.795073,-122.40635
5,5,"2011 Excelsior",28,2011,"Excelsior/Outer Mission",37.7223,-122.431224
6,6,"2011 Financial District/South Beach",7,2011,"Financial District/South Beach/SOMA",37.793213,-122.398187
7,7,"2011 Glen Park",13,2011,"Glen Park/Noe Valley",37.735976,-122.434464
8,8,"2011 Golden Gate Park",8,2011,"Golden Gate Park",37.769283,-122.473486
9,9,"2011 Haight Ashbury",31,2011,"Haight Ashbury/Hayes Valley",37.76991,-122.447678
10,10,"2011 Hayes Valley",37,2011,"Haight Ashbury/Hayes Valley",37.776425,-122.426235
11,11,"2011 Inner Richmond",17,2011,"Inner Richmond",37.778849,-122.468955
12,12,"2011 Inner Sunset",31,2011,"Inner Sunset",37.762068,-122.467189
13,13,"2011 Japantown",4,2011,"Japantown",37.78584,-122.429952
14,14,"2011 Lakeshore",157,2011,"Lakeshore",37.71872,-122.477916
15,15,"2011 Lone Mountain/USF",13,2011,"Lone Mountain/USF",37.777975,-122.452816
16,16,"2011 Marina",39,2011,"Marina",37.802877,-122.436969
17,17,"2011 Mission",96,2011,"Mission",37.758338,-122.414678
18,18,"2011 Mission Bay",5,2011,"Mission Bay",37.770674,-122.392015
19,19,"2011 Nob Hill",31,2011,"Nob Hill",37.793044,-122.414461
20,20,"2011 Noe Valley",30,2011,"Glen Park/Noe Valley",37.747095,-122.431421
21,21,"2011 North Beach",22,2011,"North Beach",37.799254,-122.407458
22,22,"2011 Oceanview/Merced/Ingleside",20,2011,"Oceanview/Merced/Ingleside",37.718959,-122.462039
23,23,"2011 Outer Mission",25,2011,"Excelsior/Outer Mission",37.709585,-122.455082
24,24,"2011 Outer Richmond",44,2011,"Outer Richmond",37.776683,-122.489908
25,25,"2011 Pacific Heights",29,2011,"Pacific Heights",37.792182,-122.432784
26,26,"2011 Portola",10,2011,"Portola",37.72647,-122.407642
27,27,"2011 Potrero Hill",23,2011,"Potrero Hill",37.759056,-122.398618
