"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"1","700 Block Of Bush  Street","07/06/2022","Nob Hill",""
"2","400 Block Of Valencia  Street","03/10/2022","Mission",""
"3","400 Block Of Eddy  Street","02/18/2022","Tenderloin",""
"4","100 Block Of Bartlett  Street","11/12/2021","Mission",""
"5","700 Block Of Fillmore  Street","10/25/2021","Hayes Valley",""
"8","700 Block Of Harrison  Street","09/16/2020","South of Market",""
"9","0 Block Of Commer  Court","08/17/2020","Bayview Hunters Point",""
"10","700 Block Of Kearny  Street","04/15/2020","Chinatown",""
"12","1000 Block Of Pine  Street","10/02/2019","Nob Hill",""
"13","1800 Block Of Mason  Street","08/21/2019","Russian Hill",""
"14","1800 Block Of Mason  Street","08/12/2019","Russian Hill",""
"15","200 Block Of Font  Boulevard","02/04/2019","Lakeshore",""
"16","700 Block Of Kearny  Street","09/11/2018","Chinatown",""
"17","700 Block Of Kearny  Street","08/24/2018","Chinatown",""
"18","0 Block Of Polk  Street","11/22/2017","Tenderloin",""
"19","1300 Block Of Hampshire  Street","08/03/2017","Mission",""
"20","3300 Block Of 21st  Street","02/09/2017","Mission",""
"21","3800 Block Of Folsom  Street","01/09/2017","Bernal Heights",""
"22","600 Block Of Taylor  Street","07/20/2016","Nob Hill",""
"23","700 Block Of Kearny  Street","03/30/2016","Chinatown",""
"24","1500 Block Of Bay  Street","01/06/2016","Marina",""
"26","1600 Block Of Market  Street","11/02/2015","Mission",""
"27","0 Block Of Church  Street","08/31/2015","Hayes Valley",""
"28","1000 Block Of Pine  Street","02/04/2015","Nob Hill",""
"29","800 Block Of Francisco  Street","12/08/2014","Russian Hill",""
"30","200 Block Of Judson  Avenue","10/06/2014","West of Twin Peaks",""
"31","100 Block Of Font  Boulevard","03/05/2014","Lakeshore",""
"34","200 Block Of Divisadero  Street","09/16/2013","Haight Ashbury",""
"35","0 Block Of Bernice  Street","01/15/2013","Mission",""
"36","700 Block Of Bush  Street","09/26/2012","Nob Hill",""
"37","700 Block Of Polk  Street","04/10/2012","Tenderloin",""
"38","200 Block Of Upper  Terrace","01/30/2012","Haight Ashbury",""
"39","500 Block Of Bush  Street","01/04/2012","Financial District/South Beach",""
"41","100 Block Of Lawrence  Street","12/13/2010","Outer Mission",""
"42","1500 Block Of Quesada  Avenue","02/10/2010","Bayview Hunters Point",""
"43","400 Block Of Eddy  Street","12/21/2009","Tenderloin",""
"44","2000 Block Of Broadway  Street","09/29/2009","Pacific Heights",""
"45","2200 Block Of 23rd  Street","04/06/2009","Potrero Hill",""
"46","0 Block Of Lloyd  Street","04/17/2008","Haight Ashbury",""
"47","0 Block Of Watt  Avenue","10/26/2007","Excelsior",""
"48","500 Block Of Hyde  Street","07/17/2007","Tenderloin",""
"50","1200 Block Of Florida  Street","02/01/2007","Mission",""
"51","700 Block Of Bush  Street","10/24/2006","Nob Hill",""
"52","1500 Block Of Mcallister  Street","04/06/2006","Western Addition",""
"53","700 Block Of Peru  Avenue","03/21/2006","Excelsior",""
"54","100 Block Of Castenada  Avenue","10/05/2005","West of Twin Peaks",""
"55","1200 Block Of North Point  Street","05/17/2005","Treasure Island",""
"57","2400 Block Of Maiposa  Street","07/23/2004","Potrero Hill",""
"58","1500 Block Of Bay  Street","03/19/2004","Marina",""
"59","0 Block Of Hazelwood  Avenue","02/25/2004","West of Twin Peaks",""
"60","1200 Block Of North Point  Street","11/06/2003","Treasure Island",""
"61","100 Block Of Gennessee  Street","08/27/2003","West of Twin Peaks",""
"63","500 Block Of Arlington  Street","01/03/2003","Glen Park",""
"65","900 Block Of Bush  Street","05/20/2002","Nob Hill",""
"66","1400 Block Of 27th  Avenue","04/09/2002","Sunset/Parkside",""
"67","700 Block Of Bush  Street","02/19/2002","Nob Hill",""
"68","0 Block Of Laguna  Street","12/06/2001","Hayes Valley",""
"69","2300 Block Of Folsom  Street","07/16/2001","Mission",""
"70","0 Block Of Lexington  Street","06/13/2001","Mission",""
"71","500 Block Of Columbus  Avenue","05/09/2001","Chinatown",""
"72","100 Block Of Pope  Street","03/21/2001","Excelsior",""
"73","3800 Block Of Anza  Street","03/13/2001","Outer Richmond",""
"74","800 Block Of Hayes  Street","02/27/2001","Hayes Valley",""
"75","2800 Block Of Octavia  Street","02/06/2001","Marina",""
"76","0 Block Of Buena Vista East","01/02/2001","Haight Ashbury",""
"77","100 Block Of Jones  Street","09/11/2000","Tenderloin",""
"78","0 Block Of Miguel  Street","04/27/2000","Glen Park",""
"79","400 Block Of Natoma  Street","04/06/2000","South of Market",""
"80","1700 Block Of Gough  Street","03/24/2000","Pacific Heights",""
"81","1200 Block Of 17th  Street","03/20/2000","Mission Bay",""
"82","2000 Block Of 23rd  Street","11/09/1999","Potrero Hill",""
"83","1300 Block Of Grove  Street","06/14/1999","Hayes Valley",""
"84","600 Block Of Hayes  Street","06/04/1999","Hayes Valley",""
"85","2400 Block Of 47th  Avenue","05/21/1999","Sunset/Parkside",""
"86","1800 Block Of 45th  Avenue","03/25/1999","Sunset/Parkside",""
"87","3100 Block Of Washington  Street","03/09/1999","Pacific Heights",""
