"","X.2","X.1","X","nhood","lat","lon","d","day","month","year","price_sqft","price_mq"
"1",1,1,1244,"Hayes Valley",NA,NA,"2014-08-10",10,8,2014,4.06976744186047,43.8080456605002
"2",2,2,1275,"Hayes Valley",NA,NA,"2011-11-22",22,11,2011,3,32.2927879440258
"3",3,3,1276,"Hayes Valley",NA,NA,"2011-11-22",22,11,2011,3.33333333333333,35.880875493362
"4",4,4,1291,"Hayes Valley",NA,NA,"2011-12-11",11,12,2011,3.32283464566929,35.7678648618869
"5",5,5,1294,"Hayes Valley",NA,NA,"2011-12-12",12,12,2011,4.33962264150943,46.7128379064524
"6",6,6,1350,"Hayes Valley",NA,NA,"2011-09-30",30,9,2011,2.59259259259259,27.9073476059482
"7",7,7,1353,"Hayes Valley",NA,NA,"2012-01-19",19,1,2012,3.13475177304965,33.7432914214171
"8",8,8,1354,"Hayes Valley",NA,NA,"2012-01-19",19,1,2012,5.46428571428571,58.8190066123327
"9",9,9,1356,"Hayes Valley",NA,NA,"2012-01-21",21,1,2012,3.13475177304965,33.7432914214171
"10",10,10,1360,"Hayes Valley",NA,NA,"2012-01-22",22,1,2012,2.90909090909091,31.3142186123887
"11",11,11,1364,"Hayes Valley",NA,NA,"2012-01-23",23,1,2012,4.03092783505155,43.3899659316636
"12",12,12,1384,"Hayes Valley",NA,NA,"2012-02-05",5,2,2012,3.71588089330025,39.9987179042008
"13",13,13,1393,"Hayes Valley",NA,NA,"2014-08-03",3,8,2014,1.075,11.5715823466093
"14",14,14,1402,"Hayes Valley",NA,NA,"2011-12-10",10,12,2011,2.72222222222222,29.3027149862456
"15",15,15,1407,"Hayes Valley",NA,NA,"2012-03-23",23,3,2012,3.21428571428571,34.5994156543133
"16",16,16,1408,"Hayes Valley",NA,NA,"2012-02-23",23,2,2012,3.94,42.4111948331539
"17",17,17,1420,"Hayes Valley",NA,NA,"2012-03-05",5,3,2012,5,53.8213132400431
"18",18,18,1423,"Hayes Valley",NA,NA,"2011-11-20",20,11,2011,3.05555555555556,32.8908025355819
"19",19,19,1429,"Hayes Valley",NA,NA,"2011-11-22",22,11,2011,3.15384615384615,33.9488283514117
"20",20,20,1431,"Hayes Valley",NA,NA,"2011-11-22",22,11,2011,3.63157894736842,39.0912696164523
"21",21,21,1435,"Hayes Valley",NA,NA,"2012-02-07",7,2,2012,3.85,41.4424111948332
"22",22,22,1439,"Hayes Valley",NA,NA,"2011-11-28",28,11,2011,3.04761904761905,32.8053718796453
"23",23,23,1444,"Hayes Valley",NA,NA,"2012-03-19",19,3,2012,3.22894168466523,34.7571763688399
"24",24,24,1445,"Hayes Valley",NA,NA,"2012-03-19",19,3,2012,2.68965517241379,28.9521547084369
"25",25,25,1452,"Hayes Valley",NA,NA,"2011-12-12",12,12,2011,5.75,61.8945102260495
"26",26,26,1458,"Hayes Valley",NA,NA,"2011-12-16",16,12,2011,3.76024590163934,40.4762745063438
"27",27,27,1460,"Hayes Valley",NA,NA,"2011-12-20",20,12,2011,3.60979462875197,38.8567774892569
"28",28,28,1461,"Hayes Valley",NA,NA,"2011-12-20",20,12,2011,2.6,27.9870828848224
"29",29,29,1466,"Hayes Valley",NA,NA,"2012-04-02",2,4,2012,4.30122950819672,46.2995641355944
"30",30,30,1467,"Hayes Valley",37.776808,-122.446142,"2014-01-02",2,1,2014,4.5,48.4391819160388
"31",31,31,1468,"Hayes Valley",NA,NA,"2015-11-13",13,11,2015,3.15,33.9074273412271
"32",32,32,1469,"Hayes Valley",37.775749,-122.431865,"2015-11-13",13,11,2015,4.64705882352941,50.0221617172165
"33",33,33,1470,"Hayes Valley",NA,NA,"2011-12-28",28,12,2011,3.74751491053678,40.3392347743464
"34",34,34,1471,"Hayes Valley",NA,NA,"2012-01-29",29,1,2012,2.88235294117647,31.0264041030836
"35",35,35,1484,"Hayes Valley",NA,NA,"2011-11-24",24,11,2011,3,32.2927879440258
"36",36,36,1486,"Hayes Valley",NA,NA,"2012-02-23",23,2,2012,3.05066079295154,32.8381140253126
"37",37,37,1494,"Hayes Valley",NA,NA,"2012-01-07",7,1,2012,3.78214285714286,40.7119790865755
"38",38,38,1495,"Hayes Valley",NA,NA,"2012-02-26",26,2,2012,3.97058823529412,42.7404546317989
"39",39,39,1500,"Hayes Valley",NA,NA,"2011-12-07",7,12,2011,3.46534653465347,37.3019002653764
"40",40,40,1502,"Hayes Valley",NA,NA,"2012-06-30",30,6,2012,3.25,34.983853606028
"41",41,41,1503,"Hayes Valley",NA,NA,"2012-07-07",7,7,2012,1.09090909090909,11.7428319796457
"42",42,42,1507,"Hayes Valley",NA,NA,"2011-12-15",15,12,2011,4.71698113207547,50.7748238113614
"43",43,43,1510,"Hayes Valley",NA,NA,"2011-12-19",19,12,2011,2.96264855687606,31.8907271999576
"44",44,44,1511,"Hayes Valley",NA,NA,"2012-01-22",22,1,2012,5.23809523809524,56.3842329181404
"45",45,45,1512,"Hayes Valley",NA,NA,"2015-10-22",22,10,2015,6.30122950819672,67.8280894316116
"46",46,46,1514,"Hayes Valley",NA,NA,"2012-01-15",15,1,2012,3.64166666666667,39.1998564764981
"47",47,47,1516,"Hayes Valley",NA,NA,"2015-12-22",22,12,2015,4.49166666666667,48.3494797273054
"48",48,48,1520,"Hayes Valley",NA,NA,"2011-11-30",30,11,2011,3.62559241706161,39.0268290318796
"49",49,49,1521,"Hayes Valley",NA,NA,"2011-12-30",30,12,2011,2.75,29.6017222820237
"50",50,50,1525,"Hayes Valley",NA,NA,"2012-03-11",11,3,2012,3.33693304535637,35.9196237390352
"51",51,51,1530,"Hayes Valley",NA,NA,"2015-03-31",31,3,2015,4.1,44.1334768568353
"52",52,52,1533,"Hayes Valley",NA,NA,"2014-09-14",14,9,2014,1.01724137931034,10.9498533833191
"53",53,53,1536,"Hayes Valley",NA,NA,"2012-03-28",28,3,2012,2.8,30.1399354144241
"54",54,54,1537,"Hayes Valley",NA,NA,"2012-02-13",13,2,2012,2.54166666666667,27.3591675636886
"55",55,55,1538,"Hayes Valley",NA,NA,"2012-02-13",13,2,2012,2.66666666666667,28.7047003946897
"56",56,56,1542,"Hayes Valley",NA,NA,"2017-12-21",21,12,2017,4.9875,53.686759956943
"57",57,57,1546,"Hayes Valley",NA,NA,"2011-12-12",12,12,2011,3.78214285714286,40.7119790865755
"58",58,58,1548,"Hayes Valley",NA,NA,"2014-09-07",7,9,2014,1.11538461538462,12.0062929535481
"59",59,59,1549,"Hayes Valley",NA,NA,"2014-09-07",7,9,2014,3.77777777777778,40.6649922258103
