"","...1","nhood_month_year","avg_rent.mq","month","year","nhood","d"
"1",1,"1 2011 inner sunset",2.38690476190476,1,2011,"inner sunset",2011-01-01
"2",2,"1 2011 lower pac hts",1.795,1,2011,"lower pac hts",2011-01-01
"3",3,"1 2011 mission district",1.8125,1,2011,"mission district",2011-01-01
"4",4,"1 2011 pacific heights",2.39677518427519,1,2011,"pacific heights",2011-01-01
"5",5,"1 2011 presidio hts / laurel hts / lake st",2.6,1,2011,"presidio hts / laurel hts / lake st",2011-01-01
"6",6,"1 2011 russian hill",2.5,1,2011,"russian hill",2011-01-01
"7",7,"1 2011 san francisco",1.84805265059363,1,2011,"san francisco",2011-01-01
"8",8,"1 2011 SOMA / south beach",4.684375,1,2011,"SOMA / south beach",2011-01-01
"9",9,"1 2012 alamo square",3.88080657076087,1,2012,"alamo square",2012-01-01
"10",10,"1 2012 bayview",1.56235411499758,1,2012,"bayview",2012-01-01
"11",11,"1 2012 bernal",2.76691167290432,1,2012,"bernal",2012-01-01
"12",12,"1 2012 candlestick point",2.30831744726154,1,2012,"candlestick point",2012-01-01
"13",13,"1 2012 castro",2.97093220593688,1,2012,"castro",2012-01-01
"14",14,"1 2012 CCSF",2.10744490358127,1,2012,"CCSF",2012-01-01
"15",15,"1 2012 civic / van ness",3.83171799923789,1,2012,"civic / van ness",2012-01-01
"16",16,"1 2012 cole valley",2.78026690106768,1,2012,"cole valley",2012-01-01
"17",17,"1 2012 diamond heights",3.10097206593682,1,2012,"diamond heights",2012-01-01
"18",18,"1 2012 downtown",3.10698084677419,1,2012,"downtown",2012-01-01
"19",19,"1 2012 excelsior / outer mission",2.08941335921128,1,2012,"excelsior / outer mission",2012-01-01
"20",20,"1 2012 financial district",4.7395395983759,1,2012,"financial district",2012-01-01
"21",21,"1 2012 glen park",3.02871760127858,1,2012,"glen park",2012-01-01
"22",22,"1 2012 haight ashbury",2.70290273477812,1,2012,"haight ashbury",2012-01-01
"23",23,"1 2012 hayes valley",3.09965126089268,1,2012,"hayes valley",2012-01-01
"24",24,"1 2012 ingleside",2.38642068399058,1,2012,"ingleside",2012-01-01
"25",25,"1 2012 inner richmond",2.11548189808839,1,2012,"inner richmond",2012-01-01
"26",26,"1 2012 inner sunset",2.74447345531097,1,2012,"inner sunset",2012-01-01
"27",27,"1 2012 lakeshore",2.24580627705628,1,2012,"lakeshore",2012-01-01
"28",28,"1 2012 lower pac hts",3.69930171812639,1,2012,"lower pac hts",2012-01-01
"29",29,"1 2012 marina / cow hollow",3.38585486959671,1,2012,"marina / cow hollow",2012-01-01
"30",30,"1 2012 mission district",2.59881851690868,1,2012,"mission district",2012-01-01
"31",31,"1 2012 nob hill",3.86583628689157,1,2012,"nob hill",2012-01-01
"32",32,"1 2012 noe valley",2.72838154750414,1,2012,"noe valley",2012-01-01
"33",33,"1 2012 NOPA",3.06548051948052,1,2012,"NOPA",2012-01-01
"34",34,"1 2012 north beach / telegraph hill",3.60687477389425,1,2012,"north beach / telegraph hill",2012-01-01
"35",35,"1 2012 outer richmond",2.39944444444444,1,2012,"outer richmond",2012-01-01
"36",36,"1 2012 outer sunset",2.11812306828913,1,2012,"outer sunset",2012-01-01
"37",37,"1 2012 pacific heights",3.10084158986565,1,2012,"pacific heights",2012-01-01
"38",38,"1 2012 parkside",2.08564548677397,1,2012,"parkside",2012-01-01
"39",39,"1 2012 portola",2.43956125489232,1,2012,"portola",2012-01-01
"40",40,"1 2012 potrero hill",2.89496379994626,1,2012,"potrero hill",2012-01-01
"41",41,"1 2012 presidio hts / laurel hts / lake st",3.48804487317149,1,2012,"presidio hts / laurel hts / lake st",2012-01-01
"42",42,"1 2012 russian hill",3.15881928528987,1,2012,"russian hill",2012-01-01
"43",43,"1 2012 san francisco",2.04442073897927,1,2012,"san francisco",2012-01-01
"44",44,"1 2012 sea cliff",2.28256360024614,1,2012,"sea cliff",2012-01-01
"45",45,"1 2012 SOMA / south beach",3.78483283447916,1,2012,"SOMA / south beach",2012-01-01
"46",46,"1 2012 tenderloin",4.48,1,2012,"tenderloin",2012-01-01
"47",47,"1 2012 treasure island",0.6,1,2012,"treasure island",2012-01-01
"48",48,"1 2012 USF / anza vista",2.54221930243669,1,2012,"USF / anza vista",2012-01-01
"49",49,"1 2012 visitacion valley",1.79850342443626,1,2012,"visitacion valley",2012-01-01
"50",50,"1 2012 west portal / forest hills",2.54293923535598,1,2012,"west portal / forest hills",2012-01-01
"51",51,"1 2012 western addition",2.15722699722631,1,2012,"western addition",2012-01-01
"52",52,"1 2013 bernal",3.35714285714286,1,2013,"bernal",2013-01-01
"53",53,"1 2013 candlestick point",2.18481375358166,1,2013,"candlestick point",2013-01-01
"54",54,"1 2013 castro",3.54748352282539,1,2013,"castro",2013-01-01
"55",55,"1 2013 civic / van ness",4.12710835675952,1,2013,"civic / van ness",2013-01-01
"56",56,"1 2013 cole valley",2.82352941176471,1,2013,"cole valley",2013-01-01
"57",57,"1 2013 diamond heights",4.5958795562599,1,2013,"diamond heights",2013-01-01
"58",58,"1 2013 glen park",2.75744766505636,1,2013,"glen park",2013-01-01
"59",59,"1 2013 haight ashbury",2.28571428571429,1,2013,"haight ashbury",2013-01-01
"60",60,"1 2013 hayes valley",3.13874837045084,1,2013,"hayes valley",2013-01-01
"61",61,"1 2013 inner richmond",2.465,1,2013,"inner richmond",2013-01-01
"62",62,"1 2013 inner sunset",3.66667701639286,1,2013,"inner sunset",2013-01-01
"63",63,"1 2013 lower pac hts",3.41818181818182,1,2013,"lower pac hts",2013-01-01
"64",64,"1 2013 marina / cow hollow",4.27205882352941,1,2013,"marina / cow hollow",2013-01-01
"65",65,"1 2013 mission district",3.39631915109374,1,2013,"mission district",2013-01-01
"66",66,"1 2013 nob hill",4.09469696969697,1,2013,"nob hill",2013-01-01
"67",67,"1 2013 noe valley",4.23151750972763,1,2013,"noe valley",2013-01-01
"68",68,"1 2013 NOPA",4.46153846153846,1,2013,"NOPA",2013-01-01
"69",69,"1 2013 north beach / telegraph hill",5.16666666666667,1,2013,"north beach / telegraph hill",2013-01-01
"70",70,"1 2013 outer sunset",3.00047661717016,1,2013,"outer sunset",2013-01-01
"71",71,"1 2013 pacific heights",4.61671335200747,1,2013,"pacific heights",2013-01-01
"72",72,"1 2013 parkside",2.77083333333333,1,2013,"parkside",2013-01-01
"73",73,"1 2013 portola",2.10810810810811,1,2013,"portola",2013-01-01
"74",74,"1 2013 potrero hill",3.83057381685556,1,2013,"potrero hill",2013-01-01
"75",75,"1 2013 presidio hts / laurel hts / lake st",3.04166666666667,1,2013,"presidio hts / laurel hts / lake st",2013-01-01
"76",76,"1 2013 russian hill",3.82485875706215,1,2013,"russian hill",2013-01-01
"77",77,"1 2013 san francisco",1.54891415525114,1,2013,"san francisco",2013-01-01
"78",78,"1 2013 sea cliff",2.84230769230769,1,2013,"sea cliff",2013-01-01
"79",79,"1 2013 SOMA / south beach",3.78440677002358,1,2013,"SOMA / south beach",2013-01-01
"80",80,"1 2013 tenderloin",3.59,1,2013,"tenderloin",2013-01-01
"81",81,"1 2013 USF / anza vista",3.6,1,2013,"USF / anza vista",2013-01-01
"82",82,"1 2013 visitacion valley",2.13288288192472,1,2013,"visitacion valley",2013-01-01
"83",83,"1 2013 western addition",3.48545454545454,1,2013,"western addition",2013-01-01
"84",84,"1 2014 alamo square",4.5,1,2014,"alamo square",2014-01-01
"85",85,"1 2014 bernal",3,1,2014,"bernal",2014-01-01
"86",86,"1 2014 castro",4.07916666666667,1,2014,"castro",2014-01-01
"87",87,"1 2014 civic / van ness",3.6,1,2014,"civic / van ness",2014-01-01
"88",88,"1 2014 downtown",3.74251497005988,1,2014,"downtown",2014-01-01
"89",89,"1 2014 excelsior / outer mission",2.58823529411765,1,2014,"excelsior / outer mission",2014-01-01
"90",90,"1 2014 glen park",2.95227272727273,1,2014,"glen park",2014-01-01
"91",91,"1 2014 haight ashbury",3.16335227272728,1,2014,"haight ashbury",2014-01-01
"92",92,"1 2014 ingleside",2.38461538461538,1,2014,"ingleside",2014-01-01
"93",93,"1 2014 inner richmond",3.2037037037037,1,2014,"inner richmond",2014-01-01
"94",94,"1 2014 inner sunset",3.86547619047619,1,2014,"inner sunset",2014-01-01
"95",95,"1 2014 lower pac hts",4.07900828460039,1,2014,"lower pac hts",2014-01-01
"96",96,"1 2014 marina / cow hollow",3.99694444444444,1,2014,"marina / cow hollow",2014-01-01
"97",97,"1 2014 mission district",3.56785714285714,1,2014,"mission district",2014-01-01
"98",98,"1 2014 nob hill",3.8231721981722,1,2014,"nob hill",2014-01-01
"99",99,"1 2014 noe valley",2.67531517537839,1,2014,"noe valley",2014-01-01
"100",100,"1 2014 NOPA",4.84615384615385,1,2014,"NOPA",2014-01-01
"101",101,"1 2014 north beach / telegraph hill",5,1,2014,"north beach / telegraph hill",2014-01-01
"102",102,"1 2014 outer sunset",2.41666666666667,1,2014,"outer sunset",2014-01-01
"103",103,"1 2014 pacific heights",3.62436912680815,1,2014,"pacific heights",2014-01-01
"104",104,"1 2014 parkside",2.6,1,2014,"parkside",2014-01-01
"105",105,"1 2014 potrero hill",2.88041326731604,1,2014,"potrero hill",2014-01-01
"106",106,"1 2014 russian hill",4.66728395061728,1,2014,"russian hill",2014-01-01
"107",107,"1 2014 sea cliff",2.39084967320261,1,2014,"sea cliff",2014-01-01
"108",108,"1 2014 SOMA / south beach",4.24718443431049,1,2014,"SOMA / south beach",2014-01-01
"109",109,"1 2014 tenderloin",3.55,1,2014,"tenderloin",2014-01-01
"110",110,"1 2014 USF / anza vista",1.85,1,2014,"USF / anza vista",2014-01-01
"111",111,"1 2015 bayview",3.23076923076923,1,2015,"bayview",2015-01-01
"112",112,"1 2015 bernal",2.64515286377709,1,2015,"bernal",2015-01-01
"113",113,"1 2015 castro",4.79646360024245,1,2015,"castro",2015-01-01
"114",114,"1 2015 civic / van ness",5.84464285714286,1,2015,"civic / van ness",2015-01-01
"115",115,"1 2015 cole valley",3.27222222222222,1,2015,"cole valley",2015-01-01
"116",116,"1 2015 diamond heights",4.02525732031943,1,2015,"diamond heights",2015-01-01
"117",117,"1 2015 excelsior / outer mission",3.54615384615385,1,2015,"excelsior / outer mission",2015-01-01
"118",118,"1 2015 financial district",4.13659793814433,1,2015,"financial district",2015-01-01
"119",119,"1 2015 glen park",2.475,1,2015,"glen park",2015-01-01
"120",120,"1 2015 haight ashbury",3.54649621212121,1,2015,"haight ashbury",2015-01-01
"121",121,"1 2015 hayes valley",5.08078753314955,1,2015,"hayes valley",2015-01-01
"122",122,"1 2015 ingleside",4.05256120731948,1,2015,"ingleside",2015-01-01
"123",123,"1 2015 inner richmond",4,1,2015,"inner richmond",2015-01-01
"124",124,"1 2015 inner sunset",3.19373057196146,1,2015,"inner sunset",2015-01-01
"125",125,"1 2015 lakeshore",3.328025477707,1,2015,"lakeshore",2015-01-01
"126",126,"1 2015 lower pac hts",4.20909658253304,1,2015,"lower pac hts",2015-01-01
"127",127,"1 2015 marina / cow hollow",3.95079874835309,1,2015,"marina / cow hollow",2015-01-01
"128",128,"1 2015 mission district",3.97464149600398,1,2015,"mission district",2015-01-01
"129",129,"1 2015 nob hill",5.05623913042883,1,2015,"nob hill",2015-01-01
"130",130,"1 2015 noe valley",3.63743680485339,1,2015,"noe valley",2015-01-01
"131",131,"1 2015 NOPA",3.621875,1,2015,"NOPA",2015-01-01
"132",132,"1 2015 north beach / telegraph hill",4.25,1,2015,"north beach / telegraph hill",2015-01-01
"133",133,"1 2015 outer sunset",3.8538996233863,1,2015,"outer sunset",2015-01-01
"134",134,"1 2015 pacific heights",3.7851143405669,1,2015,"pacific heights",2015-01-01
"135",135,"1 2015 parkside",3.36219512195122,1,2015,"parkside",2015-01-01
"136",136,"1 2015 portola",2.78174037089872,1,2015,"portola",2015-01-01
