"","nhood_month_year","avg_rent.mq","year","nhood"
"1","2011 alamo square",3.39610082868905,"2011","alamo square"
"2","2011 bayview",1.67888239033694,"2011","bayview"
"3","2011 bernal",2.56352760753687,"2011","bernal"
"4","2011 candlestick point",2.35228226540056,"2011","candlestick point"
"5","2011 castro",3.36225662055667,"2011","castro"
"6","2011 CCSF",1.8606817905924,"2011","CCSF"
"7","2011 civic / van ness",3.7219111801863,"2011","civic / van ness"
"8","2011 cole valley",3.25138177036896,"2011","cole valley"
"9","2011 diamond heights",2.7257356382041,"2011","diamond heights"
"10","2011 downtown",3.19200194704037,"2011","downtown"
"11","2011 excelsior / outer mission",1.88625297227121,"2011","excelsior / outer mission"
"12","2011 financial district",4.9975362431189,"2011","financial district"
"13","2011 glen park",2.33818799986563,"2011","glen park"
"14","2011 haight ashbury",2.87347443326686,"2011","haight ashbury"
"15","2011 hayes valley",3.31270537804874,"2011","hayes valley"
"16","2011 ingleside",2.40812623264696,"2011","ingleside"
"17","2011 inner richmond",2.07084953497631,"2011","inner richmond"
"18","2011 inner sunset",2.80421664453051,"2011","inner sunset"
"19","2011 lakeshore",2.48019480519481,"2011","lakeshore"
"20","2011 lower haight",2.87561553030303,"2011","lower haight"
"21","2011 lower pac hts",3.33993092911272,"2011","lower pac hts"
"22","2011 marina / cow hollow",3.31370913049135,"2011","marina / cow hollow"
"23","2011 mission district",2.64300551486242,"2011","mission district"
"24","2011 nob hill",3.53128876360946,"2011","nob hill"
"25","2011 noe valley",2.89020994766837,"2011","noe valley"
"26","2011 NOPA",2.83235294117647,"2011","NOPA"
"27","2011 north beach / telegraph hill",3.70636100170875,"2011","north beach / telegraph hill"
"28","2011 outer richmond",2.620670995671,"2011","outer richmond"
"29","2011 outer sunset",2.04077038742276,"2011","outer sunset"
"30","2011 pacific heights",3.2379197634471,"2011","pacific heights"
"31","2011 parkside",2.10531710322362,"2011","parkside"
"32","2011 portola",2.27182078869124,"2011","portola"
"33","2011 potrero hill",3.01069566373567,"2011","potrero hill"
"34","2011 presidio hts / laurel hts / lake st",2.77670865876,"2011","presidio hts / laurel hts / lake st"
"35","2011 russian hill",3.25520631353836,"2011","russian hill"
"36","2011 san francisco",1.84997832868889,"2011","san francisco"
"37","2011 sea cliff",2.31813800804491,"2011","sea cliff"
"38","2011 SOMA / south beach",3.91671787493806,"2011","SOMA / south beach"
"39","2011 tenderloin",3.63451858813701,"2011","tenderloin"
"40","2011 treasure island",0.666666666666667,"2011","treasure island"
"41","2011 twin peaks",3.07333242296423,"2011","twin peaks"
"42","2011 USF / anza vista",3.05604138257794,"2011","USF / anza vista"
"43","2011 visitacion valley",1.7648275862069,"2011","visitacion valley"
"44","2011 west portal / forest hills",1.94038303923172,"2011","west portal / forest hills"
"45","2012 alamo square",3.51716298143561,"2012","alamo square"
"46","2012 bayview",1.68077357406951,"2012","bayview"
"47","2012 bernal",2.78931799839403,"2012","bernal"
"48","2012 candlestick point",2.39197224273787,"2012","candlestick point"
"49","2012 castro",3.13751584389163,"2012","castro"
"50","2012 CCSF",2.33461828866505,"2012","CCSF"
"51","2012 civic / van ness",3.5218940781656,"2012","civic / van ness"
"52","2012 cole valley",3.0059642258849,"2012","cole valley"
"53","2012 diamond heights",2.7648343274779,"2012","diamond heights"
"54","2012 downtown",2.89054812832766,"2012","downtown"
"55","2012 excelsior / outer mission",2.14579959759909,"2012","excelsior / outer mission"
"56","2012 financial district",4.63550725275663,"2012","financial district"
"57","2012 glen park",2.33727868764689,"2012","glen park"
"58","2012 haight ashbury",3.12523551948287,"2012","haight ashbury"
"59","2012 hayes valley",3.07961261955571,"2012","hayes valley"
"60","2012 ingleside",2.54438085753566,"2012","ingleside"
"61","2012 inner richmond",2.28462387472662,"2012","inner richmond"
"62","2012 inner sunset",2.81416648196244,"2012","inner sunset"
"63","2012 lakeshore",2.27344061264742,"2012","lakeshore"
"64","2012 lower haight",2.21992505896627,"2012","lower haight"
"65","2012 lower pac hts",3.68433421476864,"2012","lower pac hts"
"66","2012 marina / cow hollow",3.40673236194543,"2012","marina / cow hollow"
"67","2012 mission district",2.60492130928958,"2012","mission district"
"68","2012 nob hill",3.59851987750009,"2012","nob hill"
"69","2012 noe valley",2.89199637564845,"2012","noe valley"
"70","2012 NOPA",2.6863192901762,"2012","NOPA"
"71","2012 north beach / telegraph hill",3.74895342172984,"2012","north beach / telegraph hill"
"72","2012 outer richmond",2.18906667350136,"2012","outer richmond"
"73","2012 outer sunset",2.2933535285631,"2012","outer sunset"
"74","2012 pacific heights",3.49381461116157,"2012","pacific heights"
"75","2012 parkside",2.010432880977,"2012","parkside"
"76","2012 portola",2.41488371029407,"2012","portola"
"77","2012 potrero hill",2.7858765250775,"2012","potrero hill"
"78","2012 presidio hts / laurel hts / lake st",3.23030862959727,"2012","presidio hts / laurel hts / lake st"
"79","2012 russian hill",3.53410786186947,"2012","russian hill"
